고객번호,기호품구매횟수,기호품1,기호품2,기호품3,기호품4,기호품5,기호품6,기호품7
73,12,16728,0,169516,12238,0,8579,16218
74,38,182542,84055,138401,108106,132488,47290,62900
75,199,39360,108157,163121,182736,200042,250680,257524
76,62,52253,48000,117060,20752,57546,138332,84015
77,33,70164,72106,128009,67310,55624,4289,11262
78,5,0,0,0,0,0,21093,0
79,19,18402,7571,100553,84534,18225,7989,55410
80,16,24747,4532,2418,7450,0,1158,30127
81,53,11808,61809,88127,88045,42476,43322,93632
82,25,23864,22456,48177,41212,18305,43441,5068
83,17,50580,51916,14348,28290,14765,25200,26917
84,41,69159,42543,166545,32094,121383,100800,13515
85,28,9349,91163,19771,34143,16687,63481,13965
86,252,302903,164525,481933,220462,402991,364560,307877
87,20,58945,31932,17512,18003,8900,0,11262
88,19,68127,37175,27906,4168,42558,8729,9922
89,24,27485,27606,17602,69271,9598,6434,19709
90,10,331134,268853,7457,106420,222499,128681,337869
91,17,63077,9168,12451,0,11226,25737,7770
92,35,18973,24722,54480,14731,22330,24010,140553
93,7,0,3296,109591,13303,1112,10723,1577
94,88,7380,22744,602231,299991,224805,109454,299901
95,16,7528,58870,15083,4079,44409,0,55973
96,41,213540,374025,257258,276515,345277,383040,328521
97,39,2175972,58510,202326,182291,658393,109947,11037
98,36,90730,61393,62693,143126,0,116885,49328
99,27,63128,14297,79460,128795,106091,40105,44824
100,46,62095,6180,0,164952,68772,51471,81764
101,167,74785,185723,120661,180473,144626,179941,238905
102,41,14456,35641,104734,67399,133497,168711,10012
103,4,28046,0,0,30951,0,0,14416
104,23,192826,11836,19839,21018,21583,6370,17423
105,35,32622,59815,73969,22837,97495,10488,131316
106,14,31786,35022,9355,11706,0,2145,13514
107,20,25388,18748,5649,22348,26902,25039,11487
108,17,4920,2060,15817,2661,4814,3217,18909
109,45,48383,28060,42255,13187,19924,33457,16534
110,67,45000,12309,158104,88799,117571,137793,18357
111,11,27120,4368,12574,0,0,0,15790
112,9,26471,10816,9038,44874,0,10402,0
113,36,21403,14524,43871,62521,68864,25522,126779
114,4,6888,9271,0,0,0,1287,0
115,52,14308,118677,87865,89092,109428,141870,54509
116,419,92726,241242,188459,152887,209489,149527,139466
117,19,2952,16399,9885,1419,35297,30702,0
118,13,3838,3090,19205,17116,12136,10294,4505
119,14,0,25134,0,11706,44397,3431,11150
120,9,19317,7726,11410,0,0,6069,0
121,54,93742,32859,21466,55933,47939,42356,130226
122,37,254575,74485,91966,109462,45966,56619,60827
123,7,25231,1648,32595,0,22756,1759,0
124,29,0,49444,35589,36804,25284,67235,14753
125,23,41891,37855,62140,98128,19621,37532,0
126,3,0,4841,0,1862,0,6970,0
127,18,7872,26987,3389,2661,40148,0,13515
128,43,62772,53512,89743,36557,29806,21875,20339
129,11,0,22095,5536,59285,0,0,2241
130,57,70753,152452,328142,233556,381717,119567,50207
131,48,23559,35928,43519,0,13107,90288,48426
132,18,52991,60569,51632,58088,155678,0,11037
133,17,61306,10301,45305,0,0,41071,1171
134,9,0,18130,3389,3095,8597,0,66448
135,47,24110,170273,16721,65137,24031,60533,30406
136,6,0,25752,0,10172,6119,9651,12389
137,43,415429,64947,71166,81607,54299,105604,46491
138,29,45759,45015,10507,42514,249705,281543,45815
139,30,120645,26370,180656,57085,6736,25469,41028
140,31,92923,382573,42029,31571,44904,538743,69826
141,37,31588,19901,7174,13914,17466,20748,20418
143,2,0,0,0,2084,0,22519,0
144,75,135859,193924,226459,172444,119946,30541,0
145,16,11316,51402,6666,43455,47432,14798,9325
146,3,0,0,22596,16770,0,9544,0
147,70,61208,182531,87412,137912,198985,223733,222596
148,41,27493,22548,38571,20876,15645,9630,30362
149,7,59437,6181,2825,0,2832,3003,0
150,15,45414,27400,52875,11386,24476,6187,0
151,19,54026,33756,9649,0,8799,0,11048
152,18,24778,23280,17161,15343,13148,32706,20272
153,25,14760,8137,18302,5144,9102,6434,1126
154,5,0,14927,0,5960,0,23484,0
155,27,8128,3647,39679,38588,85520,19034,25363
156,14,0,57901,28087,6900,15737,53853,31286
157,21,16531,35847,14123,4434,3236,31206,43585
158,145,40049,103389,138685,182370,147371,200806,85727
159,7,0,10816,0,6563,11641,8579,3694
160,7,68392,1494,11298,3547,0,0,9010
161,8,16523,0,0,125399,57850,10723,10136
162,29,33911,44736,58310,22596,7605,21855,24754
163,41,61285,66132,12654,36751,38028,25522,37143
164,62,275613,168616,357722,518534,148821,67118,117318
165,10,0,1030,0,25984,6250,2895,23516
166,42,0,58250,31861,49310,31423,43783,73318
167,26,19484,16481,30279,51792,57546,3753,111925
168,24,3936,33993,22596,21870,7828,123318,48631
169,5,11100,0,12767,1109,0,13511,1171
170,51,78827,61158,129939,18376,7282,44266,4527
171,62,34736,95076,44175,193243,29835,176828,47528
172,54,42905,22189,38956,89883,69449,120092,102644
173,13,22043,20911,4395,11378,0,11892,3097
175,57,80359,110888,67269,68439,75982,55655,77990
176,9,0,0,6597,0,1416,1340,1576
177,3,0,21322,0,0,0,0,5631
178,19,4133,0,12427,10642,43488,18659,57045
179,44,15646,150803,43272,41017,87280,76136,20835
180,2,0,0,0,0,0,26915,0
181,27,8856,24784,51090,49664,44499,51578,8593
182,17,0,16481,345269,30489,4045,25200,46964
183,131,126490,130174,101852,84322,147205,149840,80602
184,15,9053,30985,17117,9755,29025,0,8446
185,41,0,31469,67766,94528,72777,122922,62044
186,32,39067,20581,110155,30508,38412,41467,87756
187,5,984,3090,0,25719,0,10573,0
188,31,5608,2359,27455,0,19166,31377,32753
189,58,40542,402971,85921,108195,97900,66313,99943
190,55,195138,58199,277254,89304,126622,42895,81820
191,2,0,0,2146,0,0,0,0
192,13,0,33478,39825,9205,9102,0,41670
193,80,21040,62681,34697,21710,35369,26100,66392
194,41,21688,56396,25613,29913,42559,55085,56851
195,1,0,0,0,14988,0,0,0
196,54,43968,40946,44358,118642,81513,58496,151174
197,20,12596,26267,25929,5321,9102,47613,28302
198,20,24996,25958,14010,18082,4501,13458,24664
199,21,37345,39453,379152,22525,708759,23484,473737
200,21,6348,26268,8981,10687,7130,7722,9403
201,21,41724,38629,16947,39110,144017,38775,4392
202,11,35673,0,0,5321,36005,0,25227
203,21,39225,1545,24518,19466,12693,10938,40544
204,23,31185,24907,27907,7609,14442,59793,15305
205,55,74591,72931,156131,47738,88333,80962,65208
206,49,15705,13011,32924,12895,15201,36555,19517
207,0,0,0,0,0,0,0,0
208,13,15695,0,0,30330,76661,15227,15992
209,55,19189,9373,15817,20753,31959,26916,75683
210,18,0,0,5965,20876,1052,47440,4753
211,26,8660,5871,3954,89041,41467,37211,63744
212,5,19189,15708,0,0,0,0,24664
213,59,40791,40257,24517,29799,32525,31022,43133
214,81,89509,106995,88101,103441,80707,3539,67168
215,37,69554,24722,27612,73386,70694,69284,100786
216,10,3985,10301,19546,220494,32343,21436,5631
217,40,18539,31933,55711,99149,1568,20728,90830
218,5,0,3605,3954,0,0,20374,59127
219,51,31490,47775,125091,132733,37957,129321,61943
220,48,37650,60332,14913,106439,30402,88961,54723
221,38,11218,25937,46074,73768,37724,19066,35859
222,28,99882,92399,51633,24831,59286,29489,56311
223,7,59043,0,125183,4878,0,87932,5631
224,10,19682,3605,9151,32103,0,223046,0
225,14,13462,49960,11298,16850,52570,61852,2838
226,22,73774,29255,39645,25753,29826,28096,36129
227,18,1869,15080,2146,0,3944,4076,9867
228,122,19829,15421,9921,20841,36674,71301,172877
229,8,5904,28843,55247,0,0,0,3379
230,54,17102,30676,124163,25399,15696,151156,58114
231,17,12645,2730,3344,11263,12945,18552,2252
232,351,121284,120499,121970,110929,74397,119385,120393
233,26,36980,99352,46163,30064,61389,21340,25858
234,1,0,0,0,6208,0,0,0
235,37,63963,85909,11524,55009,70796,207713,116451
236,184,259055,373976,85301,207297,146988,181538,311701
237,31,7282,34610,23342,75886,26852,19880,27097
238,43,13561,67625,35125,20948,51985,37616,35814
239,18,27554,18335,64738,24831,42579,0,62675
240,40,31784,29872,156931,9579,6068,46969,48991
241,8,0,0,0,8682,1780,24128,11150
242,29,54064,18439,6643,57831,60732,42464,56435
243,15,0,12784,26946,5410,6514,7506,7320
245,121,28289,93325,68918,31393,122208,119608,89008
246,11,27357,16996,0,9746,5836,47043,3322
247,110,177283,62794,79256,95202,77267,88144,49870
248,91,71853,99700,153259,38905,52469,27217,133188
249,7,0,6696,5999,0,2023,0,12951
250,9,0,0,40334,0,0,9329,21736
251,18,6888,6180,13896,30153,31554,10187,10699
252,48,33948,42850,20903,22570,19216,15013,4505
253,6,0,7211,3389,0,7585,15549,7884
254,34,8906,33529,66490,47958,36864,0,13177
255,28,6396,19417,120777,7095,158034,264761,34350
256,7,0,42841,0,27572,0,0,0
257,64,25096,31921,42347,29160,47940,37573,43245
258,6,0,0,3627,0,0,0,108117
259,72,31282,49927,32089,18713,37625,28148,11487
260,20,0,30996,5333,47330,33800,44663,12040
261,10,8856,12876,10168,5321,0,28953,29281
262,37,105196,114134,115014,121586,54715,44502,232789
263,30,5098,6396,14507,7512,11600,7431,12173
264,28,57558,26515,54456,40299,22270,2595,0
265,7,14269,0,3231,0,0,31270,41671
266,14,9841,0,0,13302,60682,41499,11825
267,21,0,3502,17489,5765,34890,39140,9010
268,58,72299,90112,87209,51011,62857,70665,0
269,73,51573,45446,45011,29452,108296,60202,56345
270,16,1122,20550,0,7982,30755,43365,8638
271,14,0,26267,37284,49219,0,0,52708
272,65,111799,61888,93855,151551,111169,99063,208217
273,12,13088,0,0,13834,46421,30562,12388
274,21,20902,5006,31702,6784,18509,15409,30138
275,21,24818,28616,13817,6323,9750,10927,23144
276,1080,198443,189552,249765,139227,176589,157422,240199
277,34,20173,23640,23048,29197,32464,15334,31107
278,750,221510,139534,332110,250979,157561,268862,145441
279,25,290099,8447,26550,119368,33577,106805,35814
280,18,54124,41204,10914,75381,0,100265,0
281,51,191350,84674,65021,54098,90011,136391,112284
282,11,3444,37567,0,0,4905,33350,11262
283,10,2952,39143,8700,0,18710,32921,23426
284,5,16030,0,7344,6527,10316,0,0
285,18,1968,15966,7344,17735,6068,0,11938
286,45,161511,130202,149077,109701,20591,136435,99108
287,52,42894,53287,40991,21462,41568,64148,43585
288,47,633830,170274,744319,666635,1071643,1485772,1500587
289,60,14761,40276,113862,142657,115029,88822,129166
290,27,30998,11640,36922,46257,48010,55655,26184
291,61,23411,40410,57113,48147,61298,70054,141061
292,11,3838,0,17646,8744,1780,8139,9302
293,32,26077,22662,103773,7715,46117,60265,16331
294,6,0,4120,24246,10376,8090,0,0
295,11,0,0,90385,62433,133095,5791,78836
296,47,8581,40977,73074,9666,26912,20289,11150
297,24,4674,70047,41803,103663,13451,38058,56875
298,50,45324,104461,43521,69892,48597,32127,34394
299,13,0,20602,27229,0,0,17693,54960
300,17,110215,32489,26890,29089,0,17887,48202
301,19,11612,7787,40289,5631,40960,169001,69827
302,60,41232,104946,57506,264635,51175,215486,41107
303,32,21384,24001,36911,14012,26215,10616,37074
304,19,17221,45941,34842,47800,0,247603,98286
305,50,21255,53853,73380,79965,75365,19602,37819
306,24,45462,13390,51294,16406,3540,15978,6757
307,26,22634,38833,40673,89571,102886,68737,13853
308,60,94527,119490,29601,74085,66751,49209,118367
309,9,25585,1957,0,0,151704,205782,36039
310,28,1171,10177,41012,8780,97394,4182,25857
311,34,16286,102966,43814,452372,14563,1072,11262
312,133,61355,73858,116799,424873,130796,293395,497894
313,21,64652,39452,0,53592,18204,34851,27931
314,44,88035,66337,80375,42125,60561,207658,76875
315,28,12891,30347,79707,21373,37349,51149,55928
316,23,2834,26093,1457,16850,65738,16784,6420
317,67,21856,82768,92182,61680,65738,48942,99435
318,27,12182,60836,90045,12948,5057,13941,0
319,11,12301,2060,0,10589,40454,47183,0
320,24,18697,31727,34233,39375,53803,27880,23538
321,14,0,26267,24630,17737,24454,0,0
322,60,110479,286180,265956,194536,492935,184839,323858
323,23,34382,40483,72533,5543,9709,14155,41592
324,95,43162,120408,106450,148269,148306,93808,70827
325,26,27160,38402,60671,20380,37522,14262,73408
326,27,17614,16275,23207,949,89425,13511,26106
327,3,0,8035,0,3104,3540,0,0
328,3,0,36568,0,8868,0,0,0
329,30,56387,9240,36266,114571,13956,61081,36704
330,56,17516,22650,2825,0,22038,50337,51388
331,20,12104,77628,0,23988,4349,35034,0
332,108,58945,66337,123241,146330,123144,224825,131181
333,22,19386,2009,26472,26206,0,29597,5180
334,16,22829,25236,10167,2661,0,11581,23426
335,16,265400,0,54547,82476,24272,172325,0
336,2,0,0,1186,0,0,1126,0
337,38,18204,31933,367921,126950,873216,57371,10586
338,37,22830,64792,310357,50815,240028,23913,27131
339,93,65469,308388,384521,522002,40557,303044,366799
340,35,5904,44809,21240,112363,38735,100587,120845
341,5,3936,0,0,0,0,5898,17231
342,22,7351,16883,4858,0,51427,7185,4831
343,9,9841,2575,22596,8868,3337,18766,14190
344,3,0,0,30505,0,0,18230,0
345,6,3936,13803,0,23945,0,0,3379
346,26,32966,41204,11298,17736,66752,21446,59914
347,52,5018,16553,17908,47493,53702,24451,32007
348,16,19307,12640,10665,0,5006,8911,2252
349,66,599617,228350,293185,147941,296833,103373,68441
350,19,31037,5871,34052,6208,7990,15549,34237
351,59,102283,140844,123498,79815,145191,245565,3378
352,15,8069,0,0,12682,33314,91653,65514
353,16,12990,15070,114925,0,38946,54904,11645
354,5,21551,38690,0,0,0,22412,0
355,15,984,3090,0,1774,3540,0,18930
356,14,63864,0,8475,9755,5057,3003,7320
357,20,75506,73590,20393,0,21137,5255,0
358,9,0,8962,0,12327,34993,0,2252
359,71,79689,97776,51859,43943,45614,27988,99942
360,48,71788,47859,61934,40935,57587,73112,97352
361,40,66955,63237,55847,10801,25496,39911,41412
362,8,0,0,0,2607,5461,4825,5180
363,25,44536,15863,31974,15147,9497,36062,27401
364,20,15548,9888,9875,15830,11884,63267,37110
365,27,43101,33272,99648,57112,9891,25092,73430
366,34,73903,75815,217612,93384,157770,37993,101833
367,94,150244,209725,143936,103405,34383,57905,125800
368,49,34245,37392,179074,18730,64767,108306,92690
369,16,9742,17130,16032,12771,8910,2713,14641
370,15,3867,1339,0,14899,18468,11292,20711
371,34,20745,1442,265742,26747,35165,5994,518674
372,50,117103,147490,181673,285002,0,28008,157963
373,60,8315,51319,18303,57812,132993,51119,108400
374,13,452666,229709,506154,158744,235040,10616,11262
375,24,31489,28997,27454,31839,24040,7989,121047
376,6,3444,0,2440,0,3034,5683,8954
377,19,8856,19057,0,24211,67761,36675,22299
378,48,33458,389475,107218,67922,43086,49478,22660
379,30,49105,0,21410,31748,7989,19570,69264
380,67,14416,66854,29680,10189,43469,46670,28018
381,38,0,23176,50507,44786,23665,3753,67460
382,10,8797,0,14010,0,19115,27987,13402
383,6,0,0,0,22082,3034071,8579,7884
384,17,18992,0,0,14961,10043,121754,6735
385,19,34933,28637,15727,40546,25031,43108,18133
386,24,48711,37289,22596,82387,10417,17694,47415
387,27,12281,222756,125069,41238,40333,20825,21398
388,18,0,29358,0,22392,31656,61123,23572
389,101,45768,67297,55079,25531,33113,32001,54149
390,22,21649,14370,55338,62877,12440,70453,19507
391,34,86852,59868,353404,25718,3772,13618,244550
392,20,17220,18543,9920,0,0,65400,28144
393,43,82071,74578,84735,126198,46320,59514,233298
394,37,38574,12979,23273,18535,55806,39676,21398
395,89,152835,33652,59406,127704,182389,130023,65592
396,10,0,5665,2034,3973,2660,5887,0
397,65,27533,150496,140254,85605,52580,92042,402908
398,12,17713,19572,15591,24743,0,0,3604
399,5,0,983732,0,0,65232,0,0
400,27,36253,239505,52276,28565,31655,22744,30408
401,1,0,0,0,0,0,0,18921
402,24,18933,4326,25546,0,12703,14627,47301
403,34,65637,6696,69597,115333,8010,56963,2522
404,34,68786,120314,8869,34721,93136,69659,28268
405,7,25684,0,19206,11351,8900,13726,0
406,49,21256,8159,18145,39836,28440,25371,56964
407,23,5228580,0,6514183,24991,2022713,43751,11825
408,4,5363,0,5649,0,21238,0,0
409,24,16040,69840,41487,185775,99599,36985,7771
410,11,9841,30017,0,5321,8213,16964,6284
411,50,63273,56470,54231,43276,14158,31097,43471
412,109,95649,90573,108801,124359,117550,145012,125012
413,24,64651,55521,19207,16406,22290,4011,98208
414,19,118815,54276,1808,13843,15170,10402,7320
415,137,39844,106458,129352,39492,94980,89919,96967
416,8,6888,4635,101457,23865,0,0,13740
417,9,3936,0,19659,13746,9102,14799,0
418,25,22436,56819,111715,34011,43135,0,122151
419,44,43004,297436,82476,77156,19216,69155,62957
420,15,0,23795,6553,43011,9202,10767,14348
421,208,211993,261013,257054,213315,304407,352780,442359
422,33,12989,64793,87786,94537,49151,73456,65321
423,49,151939,31211,128006,22171,7585,37852,130619
424,1051,242666,242923,239318,126313,182509,250274,287122
425,13,59240,39700,0,25452,41668,25522,11262
426,16,0,35435,20450,66760,19216,18444,10587
427,12,5412,0,1695,8868,0,3217,27708
428,87,510134,272418,242003,129478,98121,83214,54734
429,41,65097,64484,61461,63587,39747,27880,12016
430,48,263667,427384,13558,4434,1166600,15549,677989
431,22,3149,3296,44966,91361,33072,17372,15654
432,18,9053,2215,33669,22171,34387,54,2252
433,23,13452,0,0,21080,28297,38198,10137
434,57,176048,100537,77053,76179,53400,102838,101248
435,33,9928,20879,2587,4859,3125,6091,0
436,9,0,0,67789,0,16687,43752,24889
437,6,0,0,3050,878,0,8514,0
438,14,5904,68397,29601,43526,0,10723,12389
439,43,1279,48857,62612,18994,95756,16181,21376
440,25,984,16481,25081,20220,30866,18445,5068
441,11,33439,7829,0,12416,0,0,27592
442,23,27278,74528,0,37026,26720,129269,10632
443,8,8856,1957,7231,0,8283,0,19146
444,60,129896,65802,278805,50994,276910,106632,462824
445,4,18785,2503,0,0,0,0,0
446,25,101633,7674,9705,14845,71301,0,48394
447,7,10825,11640,0,7130,0,16085,33449
448,4,0,26370,0,0,0,0,22299
449,7,2460,16069,0,922,13452,1115,0
450,6,3247,26473,0,0,0,0,3717
451,59,59122,1788435,718333,682510,50760,1994768,107611
452,16,0,7777,14236,0,8929,9329,10384
453,34,36213,3090,30844,219670,37977,169322,63563
454,9,19484,8344,95514,0,10164,0,18808
455,130,167736,187215,186416,164151,158671,125999,267245
456,95,523635,166533,156524,53920,100944,79620,65874
457,334,1364403,1045746,728815,801425,361763,631455,1270691
458,10,0,0,0,12860,25182,8407,0
459,56,111885,105532,41578,58976,69580,100800,37391
461,34,0,2575,24788,25940,4450,164067,27007
462,6,15745,4120,0,0,0,0,33224
463,23,130565,91019,188113,137282,29531,41607,13515
464,116,47934,107387,77540,61433,113067,44888,76743
465,20,6839,67779,58727,4168,79583,6112,12884
466,12,47235,39833,54118,22082,22300,21447,2252
467,83,62575,105345,100214,127209,96989,132541,151860
468,42,17418,48414,218053,100036,191552,39591,102565
469,45,82662,58302,76713,80170,10720,53833,92463
470,65,26363,23167,30629,20469,9759,71867,59475
471,45,0,192616,694535,295051,38837,404808,94941
472,16,19189,12155,38357,18801,13441,17479,4505
473,90,136823,101486,148660,123858,131903,97485,153449
474,19,14957,11537,28358,29531,0,31183,8784
475,24,29600,30470,106472,20326,38836,55976,60928
476,15,87433,23177,5536,12150,22756,2681,24102
477,15,64770,52019,215409,16859,115901,0,0
478,7,3444,6881,32764,38240,0,0,28719
479,16,1968,5768,4553,14021,31665,15066,7433
480,10,20026,1288,57337,0,16040,25522,0
481,99,634558,270294,285390,238113,451569,171573,898054
482,10,3740,14885,0,27181,0,0,0
483,31,11612,26472,39091,46737,8597,9759,31759
484,12,7774,0,3389,4967,78886,0,14078
485,33,256049,26164,36944,6208,83285,49221,49059
486,2,9841,0,3389,0,0,0,0
487,7,0,23846,0,27252,7282,13511,0
488,389,146076,202369,334215,272186,257582,179998,217694
489,78,12399,25752,59881,49396,42172,56836,96406
490,25,31155,55202,14981,18890,7100,27774,40285
491,129,441710,67613,168692,70432,24020,108017,136487
492,25,38890,14422,90327,14101,17830,0,0
493,156,86072,70022,93798,81030,136301,184088,67800
494,25,19484,46807,32086,37531,4753,25501,39800
495,58,38409,10414,12484,0,4571,13832,23988
496,9,21649,7210,10169,7449,9102,16085,901
497,25,33212,7107,22936,26241,74942,14981,20419
498,15,35229,26061,0,34002,31413,30015,25227
499,22,55452,26988,3627,2847,43913,51258,47899
500,68,45718,115790,54749,62177,13501,13082,35466
501,1,0,0,0,0,7079,0,0
502,131,563568,545990,738509,831987,104707,1081885,453701
503,58,71441,125527,23590,116991,136595,60319,24416
504,26,6357,28162,28178,12380,23503,9233,26218
505,30,40238,32230,6958,13196,25962,11324,61762
506,17,0,5408,1469,4434,28318,4460,60659
507,27,29324,45560,49474,68995,53299,0,19033
508,5,0,20396,19094,0,6574,24128,0
509,14,18687,0,224832,50106,0,16944,3378
510,13,12497,53668,0,129335,6068,2466,0
511,19,18087,22167,22483,18623,28511,33350,8334
512,5,3543,14627,13445,0,0,12493,0
513,19,14367,92707,6778,13305,2528,81498,5632
514,20,17811,0,4972,9640,4500,9298,23347
515,25,61011,92914,64850,117816,69178,31098,23200
516,70,31980,74918,12077,77751,81668,11860,59688
517,140,117496,323769,283649,225824,177066,108756,69297
518,31,27357,206223,15299,55516,51710,8364,24800
519,27,2460,5150,0,60705,57920,52170,50341
520,12,12793,12670,39430,14189,24576,16300,3379
521,51,666332,186074,7513,30188,238609,253029,168934
522,41,17517,48723,57348,51879,147597,108477,122691
523,35,273174,189742,155846,36253,159347,0,0
524,30,56780,32840,29398,10022,50862,20632,9336
525,56,105491,4779,98520,83081,112815,56095,51512
526,164,69831,105820,75562,154582,92985,97593,39869
527,549,2932,67719,319306,228470,141673,168483,228687
528,3,0,0,0,36804,9102,15334,0
529,30,51526,41008,48671,26640,69581,17479,57437
530,77,35917,82918,33329,55426,46119,291141,274876
531,20,3149,52638,15140,0,0,54368,35588
532,12,6888,10301,18529,0,21482,5898,0
533,35,38064,56088,73585,51686,58689,63365,80300
534,4,3936,4120,4519,0,7079,0,0
535,8,3218,0,0,5498,6978,0,2714
536,72,204092,73754,10733,94227,58254,41822,212577
537,15,21472,19437,2113,0,21623,3861,6465
538,46,119562,43160,62592,84516,41669,90184,25790
539,21,19190,0,0,18624,35397,20910,51086
540,59,53119,67542,43860,32459,57911,100198,86337
541,46,47511,22518,59938,23936,13168,57640,37560
542,29,30506,7725,55925,15077,30845,25628,43360
543,22,16729,50269,22596,0,49646,28191,7771
544,7,4822,0,0,23058,66750,11260,7546
545,7,5707,0,0,17027,6573,6434,0
546,15,415665,13494,44288,9755,17193,21125,216236
547,43,0,126176,417509,203849,37289,161365,130810
548,31,1171,14514,309579,6829,109924,53466,174611
549,25,69769,14215,0,0,2832,57691,49666
550,38,47235,0,85901,23059,124416,22198,90718
551,42,40051,43191,13841,31864,8445,44931,19788
552,34,11416,73909,39204,10199,28854,29490,36602
553,27,5019,42233,26551,17736,11327,74421,39869
554,6,9043,0,0,11529,12642,10723,0
555,56,66227,93111,45418,134702,27357,76758,135372
556,51,19387,15215,38469,143048,42335,50400,50445
557,17,27406,2163,26980,11032,13937,24653,0
558,35,74887,56551,102812,20929,50669,80424,61582
559,15,66915,5150,27002,39908,19216,11260,43360
560,13,36568,15451,25827,3104,6068,12868,10136
561,40,5314,31912,50524,34497,96081,19559,34034
562,44,74642,56756,19319,40751,25485,26390,46175
563,45,61936,63052,52761,25275,64697,57660,61143
564,54,61996,72260,83809,65131,30897,23806,33449
565,5,0,0,0,10420,0,6595,0
566,8,1732,123610,0,0,8090,23591,20160
567,50,59336,20600,20223,61847,143624,33029,71177
568,35,8857,60312,71743,39641,97495,17511,98657
569,52,89058,73724,54445,65716,52713,74603,71853
570,48,36980,70367,56275,49573,63655,28997,72756
571,25,14761,31314,5197,28200,18205,15870,34912
572,11,13088,0,6779,16185,10619,10723,207902
573,51,0,0,355482,67108,211050,324479,342384
574,29,47727,77670,75347,39766,107103,39139,85592
575,50,62479,97794,96259,60509,60025,62303,39475
576,21,59535,7159,22201,54797,4551,74893,0
577,56,42107,37083,27680,79906,50669,95181,131013
578,12,21649,16172,11163,29001,23666,4397,4054
579,212,68093,77248,64850,49063,58490,98017,79529
580,51,90927,42800,127725,0,250801,42894,22524
581,69,73863,40750,101230,83762,65121,80222,126949
