고객번호,기호품구매횟수,기호품1,기호품2,기호품3,기호품4,기호품5,기호품6
61,12.0,20271.0,1112.0,29150.0,11883.0,15009.0,0.0
62,17.0,0.0,79522.0,65235.0,110366.0,26447.0,0.0
63,12.0,20075.0,30387.0,28245.0,0.0,0.0,3217.0
64,62.0,47828.0,66899.0,13896.0,52898.0,59097.0,18102.0
65,26.0,22633.0,204163.0,31635.0,28822.0,20936.0,27989.0
66,58.0,75642.0,113876.0,113885.0,107712.0,62706.0,31741.0
67,13.0,21551.0,19469.0,31273.0,10997.0,22755.0,32052.0
68,22.0,29620.0,33673.0,62297.0,26383.0,7019.0,22991.0
69,93.0,41662.0,50863.0,77492.0,58610.0,51479.0,69006.0
70,38.0,73291.0,65412.0,45633.0,47022.0,89121.0,0.0
71,20.0,3100.0,5758.0,15252.0,29560.0,31564.0,24396.0
72,22.0,8266.0,3441.0,77053.0,57769.0,57424.0,31580.0
73,10.0,16728.0,0.0,169516.0,12238.0,0.0,8579.0
74,35.0,182542.0,84055.0,138401.0,108106.0,132488.0,47290.0
75,162.0,39360.0,108157.0,163121.0,182736.0,200042.0,250680.0
76,49.0,52253.0,48000.0,117060.0,20752.0,57546.0,138332.0
77,32.0,70164.0,72106.0,128009.0,67310.0,55624.0,4289.0
78,5.0,0.0,0.0,0.0,0.0,0.0,21093.0
79,16.0,18402.0,7571.0,100553.0,84534.0,18225.0,7989.0
80,12.0,24747.0,4532.0,2418.0,7450.0,0.0,1158.0
81,43.0,11808.0,61809.0,88127.0,88045.0,42476.0,43322.0
82,24.0,23864.0,22456.0,48177.0,41212.0,18305.0,43441.0
83,14.0,50580.0,51916.0,14348.0,28290.0,14765.0,25200.0
84,40.0,69159.0,42543.0,166545.0,32094.0,121383.0,100800.0
85,26.0,9349.0,91163.0,19771.0,34143.0,16687.0,63481.0
86,215.0,302903.0,164525.0,481933.0,220462.0,402991.0,364560.0
87,19.0,58945.0,31932.0,17512.0,18003.0,8900.0,0.0
88,17.0,68127.0,37175.0,27906.0,4168.0,42558.0,8729.0
89,21.0,27485.0,27606.0,17602.0,69271.0,9598.0,6434.0
90,9.0,331134.0,268853.0,7457.0,106420.0,222499.0,128681.0
91,14.0,63077.0,9168.0,12451.0,0.0,11226.0,25737.0
92,26.0,18973.0,24722.0,54480.0,14731.0,22330.0,24010.0
93,6.0,0.0,3296.0,109591.0,13303.0,1112.0,10723.0
94,72.0,7380.0,22744.0,602231.0,299991.0,224805.0,109454.0
95,13.0,7528.0,58870.0,15083.0,4079.0,44409.0,0.0
96,34.0,213540.0,374025.0,257258.0,276515.0,345277.0,383040.0
97,37.0,2175972.0,58510.0,202326.0,182291.0,658393.0,109947.0
98,28.0,90730.0,61393.0,62693.0,143126.0,0.0,116885.0
99,24.0,63128.0,14297.0,79460.0,128795.0,106091.0,40105.0
100,37.0,62095.0,6180.0,0.0,164952.0,68772.0,51471.0
101,136.0,74785.0,185723.0,120661.0,180473.0,144626.0,179941.0
102,38.0,14456.0,35641.0,104734.0,67399.0,133497.0,168711.0
103,3.0,28046.0,0.0,0.0,30951.0,0.0,0.0
104,19.0,192826.0,11836.0,19839.0,21018.0,21583.0,6370.0
105,28.0,32622.0,59815.0,73969.0,22837.0,97495.0,10488.0
106,12.0,31786.0,35022.0,9355.0,11706.0,0.0,2145.0
107,18.0,25388.0,18748.0,5649.0,22348.0,26902.0,25039.0
108,14.0,4920.0,2060.0,15817.0,2661.0,4814.0,3217.0
109,39.0,48383.0,28060.0,42255.0,13187.0,19924.0,33457.0
110,63.0,45000.0,12309.0,158104.0,88799.0,117571.0,137793.0
111,8.0,27120.0,4368.0,12574.0,0.0,0.0,0.0
112,9.0,26471.0,10816.0,9038.0,44874.0,0.0,10402.0
113,27.0,21403.0,14524.0,43871.0,62521.0,68864.0,25522.0
114,4.0,6888.0,9271.0,0.0,0.0,0.0,1287.0
115,47.0,14308.0,118677.0,87865.0,89092.0,109428.0,141870.0
116,374.0,92726.0,241242.0,188459.0,152887.0,209489.0,149527.0
117,19.0,2952.0,16399.0,9885.0,1419.0,35297.0,30702.0
118,12.0,3838.0,3090.0,19205.0,17116.0,12136.0,10294.0
119,13.0,0.0,25134.0,0.0,11706.0,44397.0,3431.0
120,9.0,19317.0,7726.0,11410.0,0.0,0.0,6069.0
121,43.0,93742.0,32859.0,21466.0,55933.0,47939.0,42356.0
122,30.0,254575.0,74485.0,91966.0,109462.0,45966.0,56619.0
123,7.0,25231.0,1648.0,32595.0,0.0,22756.0,1759.0
124,24.0,0.0,49444.0,35589.0,36804.0,25284.0,67235.0
125,23.0,41891.0,37855.0,62140.0,98128.0,19621.0,37532.0
126,3.0,0.0,4841.0,0.0,1862.0,0.0,6970.0
127,17.0,7872.0,26987.0,3389.0,2661.0,40148.0,0.0
128,39.0,62772.0,53512.0,89743.0,36557.0,29806.0,21875.0
129,10.0,0.0,22095.0,5536.0,59285.0,0.0,0.0
130,53.0,70753.0,152452.0,328142.0,233556.0,381717.0,119567.0
131,42.0,23559.0,35928.0,43519.0,0.0,13107.0,90288.0
132,17.0,52991.0,60569.0,51632.0,58088.0,155678.0,0.0
133,16.0,61306.0,10301.0,45305.0,0.0,0.0,41071.0
134,5.0,0.0,18130.0,3389.0,3095.0,8597.0,0.0
135,39.0,24110.0,170273.0,16721.0,65137.0,24031.0,60533.0
136,5.0,0.0,25752.0,0.0,10172.0,6119.0,9651.0
137,37.0,415429.0,64947.0,71166.0,81607.0,54299.0,105604.0
138,22.0,45759.0,45015.0,10507.0,42514.0,249705.0,281543.0
139,23.0,120645.0,26370.0,180656.0,57085.0,6736.0,25469.0
140,29.0,92923.0,382573.0,42029.0,31571.0,44904.0,538743.0
141,30.0,31588.0,19901.0,7174.0,13914.0,17466.0,20748.0
143,2.0,0.0,0.0,0.0,2084.0,0.0,22519.0
144,75.0,135859.0,193924.0,226459.0,172444.0,119946.0,30541.0
145,14.0,11316.0,51402.0,6666.0,43455.0,47432.0,14798.0
146,3.0,0.0,0.0,22596.0,16770.0,0.0,9544.0
147,53.0,61208.0,182531.0,87412.0,137912.0,198985.0,223733.0
148,33.0,27493.0,22548.0,38571.0,20876.0,15645.0,9630.0
149,7.0,59437.0,6181.0,2825.0,0.0,2832.0,3003.0
150,15.0,45414.0,27400.0,52875.0,11386.0,24476.0,6187.0
151,18.0,54026.0,33756.0,9649.0,0.0,8799.0,0.0
152,16.0,24778.0,23280.0,17161.0,15343.0,13148.0,32706.0
153,24.0,14760.0,8137.0,18302.0,5144.0,9102.0,6434.0
154,5.0,0.0,14927.0,0.0,5960.0,0.0,23484.0
155,25.0,8128.0,3647.0,39679.0,38588.0,85520.0,19034.0
156,11.0,0.0,57901.0,28087.0,6900.0,15737.0,53853.0
157,15.0,16531.0,35847.0,14123.0,4434.0,3236.0,31206.0
158,129.0,40049.0,103389.0,138685.0,182370.0,147371.0,200806.0
159,6.0,0.0,10816.0,0.0,6563.0,11641.0,8579.0
160,6.0,68392.0,1494.0,11298.0,3547.0,0.0,0.0
161,7.0,16523.0,0.0,0.0,125399.0,57850.0,10723.0
162,26.0,33911.0,44736.0,58310.0,22596.0,7605.0,21855.0
163,37.0,61285.0,66132.0,12654.0,36751.0,38028.0,25522.0
164,48.0,275613.0,168616.0,357722.0,518534.0,148821.0,67118.0
165,6.0,0.0,1030.0,0.0,25984.0,6250.0,2895.0
166,33.0,0.0,58250.0,31861.0,49310.0,31423.0,43783.0
167,18.0,19484.0,16481.0,30279.0,51792.0,57546.0,3753.0
168,19.0,3936.0,33993.0,22596.0,21870.0,7828.0,123318.0
169,4.0,11100.0,0.0,12767.0,1109.0,0.0,13511.0
170,50.0,78827.0,61158.0,129939.0,18376.0,7282.0,44266.0
171,55.0,34736.0,95076.0,44175.0,193243.0,29835.0,176828.0
172,43.0,42905.0,22189.0,38956.0,89883.0,69449.0,120092.0
173,12.0,22043.0,20911.0,4395.0,11378.0,0.0,11892.0
175,48.0,80359.0,110888.0,67269.0,68439.0,75982.0,55655.0
176,7.0,0.0,0.0,6597.0,0.0,1416.0,1340.0
177,2.0,0.0,21322.0,0.0,0.0,0.0,0.0
178,14.0,4133.0,0.0,12427.0,10642.0,43488.0,18659.0
179,41.0,15646.0,150803.0,43272.0,41017.0,87280.0,76136.0
180,2.0,0.0,0.0,0.0,0.0,0.0,26915.0
181,25.0,8856.0,24784.0,51090.0,49664.0,44499.0,51578.0
182,10.0,0.0,16481.0,345269.0,30489.0,4045.0,25200.0
183,119.0,126490.0,130174.0,101852.0,84322.0,147205.0,149840.0
184,13.0,9053.0,30985.0,17117.0,9755.0,29025.0,0.0
185,35.0,0.0,31469.0,67766.0,94528.0,72777.0,122922.0
186,27.0,39067.0,20581.0,110155.0,30508.0,38412.0,41467.0
187,5.0,984.0,3090.0,0.0,25719.0,0.0,10573.0
188,18.0,5608.0,2359.0,27455.0,0.0,19166.0,31377.0
189,50.0,40542.0,402971.0,85921.0,108195.0,97900.0,66313.0
190,52.0,195138.0,58199.0,277254.0,89304.0,126622.0,42895.0
191,2.0,0.0,0.0,2146.0,0.0,0.0,0.0
192,8.0,0.0,33478.0,39825.0,9205.0,9102.0,0.0
193,57.0,21040.0,62681.0,34697.0,21710.0,35369.0,26100.0
194,32.0,21688.0,56396.0,25613.0,29913.0,42559.0,55085.0
195,1.0,0.0,0.0,0.0,14988.0,0.0,0.0
196,42.0,43968.0,40946.0,44358.0,118642.0,81513.0,58496.0
197,16.0,12596.0,26267.0,25929.0,5321.0,9102.0,47613.0
198,19.0,24996.0,25958.0,14010.0,18082.0,4501.0,13458.0
199,17.0,37345.0,39453.0,379152.0,22525.0,708759.0,23484.0
200,16.0,6348.0,26268.0,8981.0,10687.0,7130.0,7722.0
201,20.0,41724.0,38629.0,16947.0,39110.0,144017.0,38775.0
202,7.0,35673.0,0.0,0.0,5321.0,36005.0,0.0
203,17.0,39225.0,1545.0,24518.0,19466.0,12693.0,10938.0
204,20.0,31185.0,24907.0,27907.0,7609.0,14442.0,59793.0
205,46.0,74591.0,72931.0,156131.0,47738.0,88333.0,80962.0
206,45.0,15705.0,13011.0,32924.0,12895.0,15201.0,36555.0
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,12.0,15695.0,0.0,0.0,30330.0,76661.0,15227.0
209,41.0,19189.0,9373.0,15817.0,20753.0,31959.0,26916.0
210,14.0,0.0,0.0,5965.0,20876.0,1052.0,47440.0
211,21.0,8660.0,5871.0,3954.0,89041.0,41467.0,37211.0
212,4.0,19189.0,15708.0,0.0,0.0,0.0,0.0
213,47.0,40791.0,40257.0,24517.0,29799.0,32525.0,31022.0
214,63.0,89509.0,106995.0,88101.0,103441.0,80707.0,3539.0
215,29.0,69554.0,24722.0,27612.0,73386.0,70694.0,69284.0
216,9.0,3985.0,10301.0,19546.0,220494.0,32343.0,21436.0
217,30.0,18539.0,31933.0,55711.0,99149.0,1568.0,20728.0
218,3.0,0.0,3605.0,3954.0,0.0,0.0,20374.0
219,49.0,31490.0,47775.0,125091.0,132733.0,37957.0,129321.0
220,40.0,37650.0,60332.0,14913.0,106439.0,30402.0,88961.0
221,34.0,11218.0,25937.0,46074.0,73768.0,37724.0,19066.0
222,26.0,99882.0,92399.0,51633.0,24831.0,59286.0,29489.0
223,6.0,59043.0,0.0,125183.0,4878.0,0.0,87932.0
224,10.0,19682.0,3605.0,9151.0,32103.0,0.0,223046.0
225,13.0,13462.0,49960.0,11298.0,16850.0,52570.0,61852.0
226,19.0,73774.0,29255.0,39645.0,25753.0,29826.0,28096.0
227,11.0,1869.0,15080.0,2146.0,0.0,3944.0,4076.0
228,74.0,19829.0,15421.0,9921.0,20841.0,36674.0,71301.0
229,7.0,5904.0,28843.0,55247.0,0.0,0.0,0.0
230,49.0,17102.0,30676.0,124163.0,25399.0,15696.0,151156.0
231,16.0,12645.0,2730.0,3344.0,11263.0,12945.0,18552.0
232,297.0,121284.0,120499.0,121970.0,110929.0,74397.0,119385.0
233,24.0,36980.0,99352.0,46163.0,30064.0,61389.0,21340.0
234,1.0,0.0,0.0,0.0,6208.0,0.0,0.0
235,31.0,63963.0,85909.0,11524.0,55009.0,70796.0,207713.0
236,154.0,259055.0,373976.0,85301.0,207297.0,146988.0,181538.0
237,26.0,7282.0,34610.0,23342.0,75886.0,26852.0,19880.0
238,39.0,13561.0,67625.0,35125.0,20948.0,51985.0,37616.0
239,16.0,27554.0,18335.0,64738.0,24831.0,42579.0,0.0
240,34.0,31784.0,29872.0,156931.0,9579.0,6068.0,46969.0
241,7.0,0.0,0.0,0.0,8682.0,1780.0,24128.0
242,25.0,54064.0,18439.0,6643.0,57831.0,60732.0,42464.0
243,14.0,0.0,12784.0,26946.0,5410.0,6514.0,7506.0
245,95.0,28289.0,93325.0,68918.0,31393.0,122208.0,119608.0
246,10.0,27357.0,16996.0,0.0,9746.0,5836.0,47043.0
247,100.0,177283.0,62794.0,79256.0,95202.0,77267.0,88144.0
248,73.0,71853.0,99700.0,153259.0,38905.0,52469.0,27217.0
249,5.0,0.0,6696.0,5999.0,0.0,2023.0,0.0
250,3.0,0.0,0.0,40334.0,0.0,0.0,9329.0
251,16.0,6888.0,6180.0,13896.0,30153.0,31554.0,10187.0
252,47.0,33948.0,42850.0,20903.0,22570.0,19216.0,15013.0
253,5.0,0.0,7211.0,3389.0,0.0,7585.0,15549.0
254,33.0,8906.0,33529.0,66490.0,47958.0,36864.0,0.0
255,26.0,6396.0,19417.0,120777.0,7095.0,158034.0,264761.0
256,7.0,0.0,42841.0,0.0,27572.0,0.0,0.0
257,52.0,25096.0,31921.0,42347.0,29160.0,47940.0,37573.0
258,1.0,0.0,0.0,3627.0,0.0,0.0,0.0
259,69.0,31282.0,49927.0,32089.0,18713.0,37625.0,28148.0
260,17.0,0.0,30996.0,5333.0,47330.0,33800.0,44663.0
261,7.0,8856.0,12876.0,10168.0,5321.0,0.0,28953.0
262,23.0,105196.0,114134.0,115014.0,121586.0,54715.0,44502.0
263,23.0,5098.0,6396.0,14507.0,7512.0,11600.0,7431.0
264,28.0,57558.0,26515.0,54456.0,40299.0,22270.0,2595.0
265,5.0,14269.0,0.0,3231.0,0.0,0.0,31270.0
266,13.0,9841.0,0.0,0.0,13302.0,60682.0,41499.0
267,19.0,0.0,3502.0,17489.0,5765.0,34890.0,39140.0
268,58.0,72299.0,90112.0,87209.0,51011.0,62857.0,70665.0
269,62.0,51573.0,45446.0,45011.0,29452.0,108296.0,60202.0
270,13.0,1122.0,20550.0,0.0,7982.0,30755.0,43365.0
271,12.0,0.0,26267.0,37284.0,49219.0,0.0,0.0
272,50.0,111799.0,61888.0,93855.0,151551.0,111169.0,99063.0
273,10.0,13088.0,0.0,0.0,13834.0,46421.0,30562.0
274,17.0,20902.0,5006.0,31702.0,6784.0,18509.0,15409.0
275,17.0,24818.0,28616.0,13817.0,6323.0,9750.0,10927.0
276,899.0,198443.0,189552.0,249765.0,139227.0,176589.0,157422.0
277,27.0,20173.0,23640.0,23048.0,29197.0,32464.0,15334.0
278,684.0,221510.0,139534.0,332110.0,250979.0,157561.0,268862.0
279,20.0,290099.0,8447.0,26550.0,119368.0,33577.0,106805.0
280,18.0,54124.0,41204.0,10914.0,75381.0,0.0,100265.0
281,40.0,191350.0,84674.0,65021.0,54098.0,90011.0,136391.0
282,10.0,3444.0,37567.0,0.0,0.0,4905.0,33350.0
283,8.0,2952.0,39143.0,8700.0,0.0,18710.0,32921.0
284,5.0,16030.0,0.0,7344.0,6527.0,10316.0,0.0
285,16.0,1968.0,15966.0,7344.0,17735.0,6068.0,0.0
286,40.0,161511.0,130202.0,149077.0,109701.0,20591.0,136435.0
287,47.0,42894.0,53287.0,40991.0,21462.0,41568.0,64148.0
288,38.0,633830.0,170274.0,744319.0,666635.0,1071643.0,1485772.0
289,48.0,14761.0,40276.0,113862.0,142657.0,115029.0,88822.0
290,24.0,30998.0,11640.0,36922.0,46257.0,48010.0,55655.0
291,44.0,23411.0,40410.0,57113.0,48147.0,61298.0,70054.0
292,9.0,3838.0,0.0,17646.0,8744.0,1780.0,8139.0
293,28.0,26077.0,22662.0,103773.0,7715.0,46117.0,60265.0
294,6.0,0.0,4120.0,24246.0,10376.0,8090.0,0.0
295,9.0,0.0,0.0,90385.0,62433.0,133095.0,5791.0
296,45.0,8581.0,40977.0,73074.0,9666.0,26912.0,20289.0
297,21.0,4674.0,70047.0,41803.0,103663.0,13451.0,38058.0
298,46.0,45324.0,104461.0,43521.0,69892.0,48597.0,32127.0
299,6.0,0.0,20602.0,27229.0,0.0,0.0,17693.0
300,15.0,110215.0,32489.0,26890.0,29089.0,0.0,17887.0
301,17.0,11612.0,7787.0,40289.0,5631.0,40960.0,169001.0
302,55.0,41232.0,104946.0,57506.0,264635.0,51175.0,215486.0
303,23.0,21384.0,24001.0,36911.0,14012.0,26215.0,10616.0
304,15.0,17221.0,45941.0,34842.0,47800.0,0.0,247603.0
305,41.0,21255.0,53853.0,73380.0,79965.0,75365.0,19602.0
306,23.0,45462.0,13390.0,51294.0,16406.0,3540.0,15978.0
307,24.0,22634.0,38833.0,40673.0,89571.0,102886.0,68737.0
308,49.0,94527.0,119490.0,29601.0,74085.0,66751.0,49209.0
309,8.0,25585.0,1957.0,0.0,0.0,151704.0,205782.0
310,20.0,1171.0,10177.0,41012.0,8780.0,97394.0,4182.0
311,33.0,16286.0,102966.0,43814.0,452372.0,14563.0,1072.0
312,90.0,61355.0,73858.0,116799.0,424873.0,130796.0,293395.0
313,18.0,64652.0,39452.0,0.0,53592.0,18204.0,34851.0
314,39.0,88035.0,66337.0,80375.0,42125.0,60561.0,207658.0
315,23.0,12891.0,30347.0,79707.0,21373.0,37349.0,51149.0
316,17.0,2834.0,26093.0,1457.0,16850.0,65738.0,16784.0
317,55.0,21856.0,82768.0,92182.0,61680.0,65738.0,48942.0
318,27.0,12182.0,60836.0,90045.0,12948.0,5057.0,13941.0
319,11.0,12301.0,2060.0,0.0,10589.0,40454.0,47183.0
320,21.0,18697.0,31727.0,34233.0,39375.0,53803.0,27880.0
321,14.0,0.0,26267.0,24630.0,17737.0,24454.0,0.0
322,53.0,110479.0,286180.0,265956.0,194536.0,492935.0,184839.0
323,16.0,34382.0,40483.0,72533.0,5543.0,9709.0,14155.0
324,88.0,43162.0,120408.0,106450.0,148269.0,148306.0,93808.0
325,21.0,27160.0,38402.0,60671.0,20380.0,37522.0,14262.0
326,24.0,17614.0,16275.0,23207.0,949.0,89425.0,13511.0
327,3.0,0.0,8035.0,0.0,3104.0,3540.0,0.0
328,3.0,0.0,36568.0,0.0,8868.0,0.0,0.0
329,27.0,56387.0,9240.0,36266.0,114571.0,13956.0,61081.0
330,40.0,17516.0,22650.0,2825.0,0.0,22038.0,50337.0
331,20.0,12104.0,77628.0,0.0,23988.0,4349.0,35034.0
332,95.0,58945.0,66337.0,123241.0,146330.0,123144.0,224825.0
333,20.0,19386.0,2009.0,26472.0,26206.0,0.0,29597.0
334,14.0,22829.0,25236.0,10167.0,2661.0,0.0,11581.0
335,16.0,265400.0,0.0,54547.0,82476.0,24272.0,172325.0
336,2.0,0.0,0.0,1186.0,0.0,0.0,1126.0
337,35.0,18204.0,31933.0,367921.0,126950.0,873216.0,57371.0
338,33.0,22830.0,64792.0,310357.0,50815.0,240028.0,23913.0
339,83.0,65469.0,308388.0,384521.0,522002.0,40557.0,303044.0
340,27.0,5904.0,44809.0,21240.0,112363.0,38735.0,100587.0
341,2.0,3936.0,0.0,0.0,0.0,0.0,5898.0
342,18.0,7351.0,16883.0,4858.0,0.0,51427.0,7185.0
343,8.0,9841.0,2575.0,22596.0,8868.0,3337.0,18766.0
344,3.0,0.0,0.0,30505.0,0.0,0.0,18230.0
345,5.0,3936.0,13803.0,0.0,23945.0,0.0,0.0
346,20.0,32966.0,41204.0,11298.0,17736.0,66752.0,21446.0
347,41.0,5018.0,16553.0,17908.0,47493.0,53702.0,24451.0
348,15.0,19307.0,12640.0,10665.0,0.0,5006.0,8911.0
349,59.0,599617.0,228350.0,293185.0,147941.0,296833.0,103373.0
350,15.0,31037.0,5871.0,34052.0,6208.0,7990.0,15549.0
351,57.0,102283.0,140844.0,123498.0,79815.0,145191.0,245565.0
352,8.0,8069.0,0.0,0.0,12682.0,33314.0,91653.0
353,14.0,12990.0,15070.0,114925.0,0.0,38946.0,54904.0
354,5.0,21551.0,38690.0,0.0,0.0,0.0,22412.0
355,7.0,984.0,3090.0,0.0,1774.0,3540.0,0.0
356,13.0,63864.0,0.0,8475.0,9755.0,5057.0,3003.0
357,20.0,75506.0,73590.0,20393.0,0.0,21137.0,5255.0
358,8.0,0.0,8962.0,0.0,12327.0,34993.0,0.0
359,62.0,79689.0,97776.0,51859.0,43943.0,45614.0,27988.0
360,39.0,71788.0,47859.0,61934.0,40935.0,57587.0,73112.0
361,30.0,66955.0,63237.0,55847.0,10801.0,25496.0,39911.0
362,5.0,0.0,0.0,0.0,2607.0,5461.0,4825.0
363,22.0,44536.0,15863.0,31974.0,15147.0,9497.0,36062.0
364,16.0,15548.0,9888.0,9875.0,15830.0,11884.0,63267.0
365,20.0,43101.0,33272.0,99648.0,57112.0,9891.0,25092.0
366,30.0,73903.0,75815.0,217612.0,93384.0,157770.0,37993.0
367,82.0,150244.0,209725.0,143936.0,103405.0,34383.0,57905.0
368,40.0,34245.0,37392.0,179074.0,18730.0,64767.0,108306.0
369,15.0,9742.0,17130.0,16032.0,12771.0,8910.0,2713.0
370,10.0,3867.0,1339.0,0.0,14899.0,18468.0,11292.0
371,24.0,20745.0,1442.0,265742.0,26747.0,35165.0,5994.0
372,44.0,117103.0,147490.0,181673.0,285002.0,0.0,28008.0
373,50.0,8315.0,51319.0,18303.0,57812.0,132993.0,51119.0
374,11.0,452666.0,229709.0,506154.0,158744.0,235040.0,10616.0
375,18.0,31489.0,28997.0,27454.0,31839.0,24040.0,7989.0
376,5.0,3444.0,0.0,2440.0,0.0,3034.0,5683.0
377,18.0,8856.0,19057.0,0.0,24211.0,67761.0,36675.0
378,43.0,33458.0,389475.0,107218.0,67922.0,43086.0,49478.0
379,23.0,49105.0,0.0,21410.0,31748.0,7989.0,19570.0
380,55.0,14416.0,66854.0,29680.0,10189.0,43469.0,46670.0
381,29.0,0.0,23176.0,50507.0,44786.0,23665.0,3753.0
382,9.0,8797.0,0.0,14010.0,0.0,19115.0,27987.0
383,5.0,0.0,0.0,0.0,22082.0,3034071.0,8579.0
384,15.0,18992.0,0.0,0.0,14961.0,10043.0,121754.0
385,17.0,34933.0,28637.0,15727.0,40546.0,25031.0,43108.0
386,20.0,48711.0,37289.0,22596.0,82387.0,10417.0,17694.0
387,26.0,12281.0,222756.0,125069.0,41238.0,40333.0,20825.0
388,16.0,0.0,29358.0,0.0,22392.0,31656.0,61123.0
389,84.0,45768.0,67297.0,55079.0,25531.0,33113.0,32001.0
390,18.0,21649.0,14370.0,55338.0,62877.0,12440.0,70453.0
391,25.0,86852.0,59868.0,353404.0,25718.0,3772.0,13618.0
392,15.0,17220.0,18543.0,9920.0,0.0,0.0,65400.0
393,32.0,82071.0,74578.0,84735.0,126198.0,46320.0,59514.0
394,34.0,38574.0,12979.0,23273.0,18535.0,55806.0,39676.0
395,81.0,152835.0,33652.0,59406.0,127704.0,182389.0,130023.0
396,10.0,0.0,5665.0,2034.0,3973.0,2660.0,5887.0
397,54.0,27533.0,150496.0,140254.0,85605.0,52580.0,92042.0
398,11.0,17713.0,19572.0,15591.0,24743.0,0.0,0.0
399,5.0,0.0,983732.0,0.0,0.0,65232.0,0.0
