고객번호,의류잡화구매횟수,의류잡화1,의류잡화2,의류잡화3,의류잡화4,의류잡화5,의류잡화6
84,89.0,3458082.0,2037305.0,1845034.0,1279651.0,1290784.0,1423802.0
85,29.0,108739.0,23589.0,33781.0,533281.0,354439.0,289425.0
86,69.0,158286.0,3190539.0,1637126.0,390963.0,1244222.0,582709.0
87,22.0,226333.0,458388.0,196586.0,1190799.0,126470.0,637164.0
88,21.0,525633.0,273220.0,670145.0,188009.0,1542329.0,171971.0
89,58.0,254212.0,1240021.0,554452.0,501505.0,1046805.0,145732.0
90,65.0,1384752.0,1641297.0,320041.0,9129385.0,1383132.0,2231004.0
91,17.0,35426.0,406884.0,122020.0,230843.0,174055.0,222833.0
92,199.0,1580679.0,2591441.0,2182473.0,3623364.0,1771746.0,4519120.0
93,199.0,9321810.0,7468725.0,18091860.0,6701766.0,7942276.0,12791147.0
94,101.0,0.0,0.0,1720394.0,2460021.0,2909543.0,1916969.0
95,53.0,216688.0,118769.0,119760.0,638256.0,267907.0,30883.0
96,31.0,103375.0,4945456.0,0.0,390341.0,30341.0,0.0
97,43.0,1926446.0,714416.0,250512.0,4070311.0,3330449.0,2226736.0
98,30.0,315143.0,323035.0,544568.0,744721.0,1458983.0,120639.0
99,310.0,7883070.0,10977661.0,40233110.0,14793667.0,9649266.0,19600436.0
100,106.0,518498.0,3192031.0,2560507.0,3028804.0,548094.0,605873.0
101,9.0,680229.0,0.0,66659.0,0.0,252840.0,0.0
102,52.0,2341718.0,757752.0,721326.0,642141.0,975029.0,2129185.0
103,8.0,35426.0,20602.0,197716.0,0.0,35397.0,0.0
104,13.0,4920.0,9786.0,28245.0,1314469.0,90921.0,120638.0
105,23.0,15449.0,164712.0,644556.0,246364.0,165206.0,50614.0
106,71.0,756149.0,1297972.0,588065.0,1522538.0,485886.0,2379684.0
107,139.0,2253043.0,11358513.0,11560898.0,18720250.0,18137472.0,16374019.0
108,104.0,869809.0,596018.0,687477.0,692430.0,467653.0,1442379.0
109,8.0,52056.0,2060.0,56378.0,0.0,0.0,19238.0
110,75.0,480070.0,1459478.0,1698294.0,2219164.0,1564266.0,831599.0
111,7.0,23421.0,10301.0,81346.0,0.0,0.0,10723.0
112,136.0,3345415.0,996546.0,4438761.0,4623253.0,7000115.0,7252990.0
113,166.0,5553665.0,3982211.0,2797474.0,6145181.0,4718445.0,3592942.0
114,71.0,81578.0,3613235.0,4297542.0,2093704.0,1140205.0,2840899.0
115,37.0,424325.0,421450.0,1998236.0,3561656.0,1620346.0,2111375.0
116,15.0,87581.0,46251.0,39543.0,105977.0,58659.0,437623.0
117,10.0,3530034.0,0.0,85865.0,0.0,68772.0,653056.0
118,174.0,5797079.0,3403930.0,6330351.0,18987833.0,8709980.0,5429723.0
119,157.0,2262559.0,5003202.0,2591781.0,7668455.0,9291174.0,1290218.0
120,475.0,31537132.0,42876362.0,24921145.0,25443071.0,26082703.0,25954739.0
121,34.0,169257.0,215186.0,55475.0,232263.0,1831407.0,349905.0
122,88.0,1137361.0,930662.0,786009.0,1175493.0,3964772.0,2389378.0
123,22.0,47333.0,246913.0,33216.0,153954.0,133499.0,0.0
124,148.0,4253640.0,2503306.0,3375937.0,1910749.0,1343082.0,7252313.0
125,34.0,899013.0,356410.0,305048.0,309684.0,335163.0,458533.0
126,62.0,2484956.0,10301.0,214664.0,6712463.0,7494460.0,2580813.0
127,41.0,226382.0,376392.0,487172.0,46116.0,99619.0,0.0
128,29.0,370203.0,332821.0,173766.0,8868.0,46927.0,169431.0
129,10.0,1958.0,163475.0,0.0,0.0,14058.0,34314.0
130,177.0,4982784.0,4546996.0,3709939.0,2129204.0,2686085.0,2892938.0
131,110.0,352491.0,3136503.0,1549023.0,657146.0,1722341.0,1226005.0
132,34.0,60814.0,66852.0,178057.0,458053.0,370662.0,337626.0
133,23.0,83015.0,0.0,1217718.0,34587.0,1782720.0,605186.0
134,128.0,5655385.0,4295026.0,6419650.0,3475723.0,3328215.0,3013696.0
135,36.0,63570.0,3117246.0,2324354.0,49485.0,246265.0,509790.0
136,75.0,0.0,1707687.0,2409306.0,1423281.0,325859.0,1633700.0
137,105.0,5519121.0,663890.0,1752479.0,1513040.0,1493733.0,3104738.0
138,134.0,1205761.0,2442716.0,2910036.0,4062225.0,2694547.0,3101637.0
139,99.0,1134420.0,2779018.0,5643666.0,4107896.0,19216.0,1574753.0
140,24.0,1564107.0,366196.0,717575.0,2057911.0,65738.0,0.0
141,1.0,0.0,20602.0,0.0,0.0,0.0,0.0
143,22.0,84037.0,0.0,43610.0,27048.0,51580.0,63268.0
144,25.0,0.0,2127953.0,2776754.0,181003.0,0.0,50507.0
145,50.0,2226474.0,1254562.0,426853.0,1104430.0,2188485.0,3134719.0
146,140.0,3491635.0,2952673.0,3285979.0,2875700.0,8577854.0,2199639.0
147,61.0,2121219.0,2681889.0,1374050.0,2085652.0,2791343.0,4137832.0
148,2.0,0.0,0.0,128798.0,0.0,0.0,0.0
149,48.0,971203.0,1056404.0,2907055.0,1463812.0,154333.0,427864.0
150,65.0,1761676.0,6128167.0,22370.0,2077548.0,810440.0,2973365.0
151,127.0,4494623.0,5034144.0,1635646.0,4448220.0,1420037.0,3719371.0
152,96.0,876498.0,893981.0,1278696.0,1770896.0,3505090.0,723796.0
153,35.0,206652.0,145243.0,64173.0,2663240.0,136836.0,761790.0
154,11.0,3369651.0,708977.0,0.0,57467.0,0.0,57906.0
155,147.0,1689830.0,3666698.0,2709664.0,2940521.0,2737288.0,3371718.0
156,252.0,12015865.0,5820143.0,8729925.0,8537144.0,21278749.0,18484907.0
157,55.0,311946.0,379073.0,1254087.0,457234.0,242725.0,373387.0
158,7.0,0.0,0.0,161563.0,111342.0,0.0,10616.0
159,207.0,4295590.0,12666611.0,5634930.0,11486724.0,6683599.0,16460298.0
160,56.0,895362.0,556741.0,880065.0,131252.0,160806.0,1674063.0
161,212.0,21479373.0,3786814.0,6291699.0,29013122.0,3617018.0,8480271.0
162,164.0,2427439.0,9203594.0,2002407.0,10000326.0,5392210.0,7052410.0
163,14.0,62783.0,129585.0,144050.0,0.0,50568.0,12225.0
164,43.0,2132745.0,2030794.0,423960.0,3262148.0,2782638.0,1365335.0
165,191.0,1106411.0,4278209.0,4333347.0,5608441.0,5800435.0,885741.0
166,87.0,716235.0,1370558.0,1527930.0,2825902.0,994529.0,1325392.0
167,56.0,2306153.0,2685743.0,1278333.0,4985065.0,753734.0,2841476.0
168,109.0,4034194.0,2650957.0,4203927.0,7323493.0,2493792.0,5205291.0
169,27.0,363706.0,227545.0,7909.0,44341.0,285505.0,284065.0
170,17.0,35722.0,149982.0,33894.0,35474.0,88999.0,15013.0
171,53.0,1458843.0,544679.0,3189947.0,1175449.0,669811.0,2797629.0
172,21.0,156366.0,374025.0,275820.0,286776.0,231651.0,272213.0
173,67.0,81285.0,419144.0,901700.0,120521.0,33547.0,1015612.0
175,19.0,103818.0,56552.0,95808.0,15697.0,107608.0,103373.0
176,11.0,16729.0,0.0,0.0,0.0,0.0,260299.0
177,151.0,1163252.0,8997402.0,2452870.0,6398938.0,9179824.0,4381862.0
178,35.0,1714420.0,454299.0,0.0,1710264.0,600220.0,293284.0
179,131.0,2779337.0,1986098.0,1633450.0,1225119.0,4415131.0,2496827.0
180,12.0,80692.0,198652.0,31838.0,22747.0,216936.0,87610.0
181,144.0,4165398.0,1560726.0,1633951.0,7466638.0,3283976.0,6875342.0
182,40.0,1023663.0,3473575.0,3244888.0,962838.0,2268675.0,7834200.0
183,26.0,160399.0,20602.0,97616.0,189694.0,60884.0,23162.0
184,106.0,4587096.0,4252835.0,1540234.0,4759339.0,20025.0,1747433.0
185,11.0,0.0,14833.0,21240.0,231358.0,32464.0,19184.0
186,69.0,1250193.0,3703017.0,1002344.0,2763922.0,997956.0,2181088.0
187,86.0,3505629.0,1482334.0,1191981.0,945641.0,382991.0,1224872.0
188,11.0,14761.0,0.0,62139.0,52677.0,0.0,10723.0
189,58.0,783701.0,2521311.0,5068377.0,1893343.0,372554.0,1716924.0
190,70.0,1681750.0,1146693.0,1096366.0,1163529.0,4215558.0,4159513.0
191,188.0,6159556.0,5973328.0,7126852.0,9283444.0,2758193.0,2706062.0
192,57.0,234402.0,1532667.0,197265.0,162132.0,295924.0,625572.0
193,33.0,59830.0,106923.0,214211.0,34320.0,13856.0,116670.0
194,128.0,752900.0,671923.0,376113.0,682509.0,438325.0,665493.0
195,84.0,540838.0,284920.0,421758.0,364934.0,79289.0,150330.0
196,146.0,1060703.0,4141336.0,1230204.0,2704541.0,2385863.0,2091075.0
197,210.0,1560643.0,3991928.0,1466989.0,7983715.0,2901881.0,24743737.0
198,94.0,205294.0,909874.0,383344.0,1121534.0,134813.0,1290565.0
199,44.0,227907.0,502681.0,297592.0,2012763.0,335569.0,837391.0
200,16.0,154497.0,165123.0,65529.0,666900.0,0.0,1306218.0
201,164.0,9952715.0,6761736.0,8241838.0,9893057.0,2793560.0,4258384.0
202,175.0,4222787.0,7860774.0,4873890.0,8404224.0,5567864.0,5389560.0
203,73.0,209014.0,124432.0,158614.0,90015.0,167379.0,238811.0
204,195.0,1569963.0,1911328.0,1885309.0,2383283.0,985972.0,1379782.0
205,36.0,2440311.0,1568616.0,496042.0,2208489.0,1309251.0,266530.0
206,52.0,399528.0,70046.0,917776.0,386031.0,84853.0,36009.0
207,17.0,78724.0,32139.0,96260.0,24831.0,0.0,75706.0
208,223.0,767071.0,6697316.0,12769565.0,7996690.0,6410284.0,1201236.0
209,107.0,3139314.0,1108643.0,1237988.0,2002920.0,360043.0,2668425.0
210,23.0,34540.0,99919.0,119873.0,45939.0,96888.0,16943.0
211,22.0,324050.0,0.0,486608.0,205569.0,214711.0,1051119.0
212,20.0,1020171.0,274734.0,429418.0,204238.0,0.0,934008.0
213,65.0,269385.0,130614.0,26889.0,466388.0,693742.0,1039203.0
214,50.0,704042.0,1015203.0,128572.0,62078.0,673918.0,2784868.0
215,97.0,113954.0,415259.0,274962.0,407589.0,347399.0,1005918.0
216,28.0,83644.0,386282.0,235001.0,53033.0,381110.0,128037.0
217,43.0,506935.0,294605.0,176477.0,479936.0,465872.0,193150.0
218,201.0,8511251.0,18231045.0,10153431.0,16967925.0,6576043.0,9072085.0
219,107.0,2768136.0,5373290.0,1240305.0,7711680.0,2346187.0,5450588.0
220,42.0,71344.0,355793.0,85978.0,52945.0,15676.0,332745.0
221,45.0,262939.0,64278.0,67223.0,685881.0,378450.0,44930.0
222,157.0,7973192.0,4095479.0,5859143.0,4356715.0,7358581.0,3493151.0
223,42.0,1990548.0,848895.0,292892.0,1505893.0,6653322.0,1641036.0
224,177.0,26794566.0,8318122.0,14620647.0,10923284.0,7941005.0,10162101.0
225,220.0,2923922.0,9470811.0,4613211.0,9509125.0,6944130.0,7089372.0
226,15.0,34638.0,288012.0,53960.0,140103.0,0.0,872341.0
227,10.0,0.0,36156.0,5626.0,95334.0,13148.0,10616.0
228,24.0,121432.0,19572.0,224492.0,0.0,18609.0,66915.0
229,84.0,5386690.0,8984302.0,2235303.0,5518515.0,6045396.0,6246073.0
230,52.0,1233296.0,1312031.0,331927.0,395405.0,859248.0,1034702.0
231,18.0,2952.0,486242.0,1548966.0,282901.0,28115.0,0.0
232,22.0,29522.0,493307.0,220279.0,6208.0,0.0,0.0
233,14.0,334677.0,0.0,218505.0,0.0,4855.0,3826325.0
234,56.0,314160.0,822267.0,597554.0,507358.0,1459752.0,1581059.0
235,48.0,738062.0,388755.0,2254453.0,1107233.0,214408.0,3837222.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,73.0,1671054.0,1862180.0,1351872.0,2355216.0,621731.0,2445911.0
238,25.0,0.0,1332159.0,821315.0,3427914.0,85461.0,1135501.0
239,180.0,21673121.0,16756227.0,5913122.0,11290196.0,11173451.0,17910488.0
240,88.0,1413892.0,1659545.0,777716.0,954848.0,75851.0,406504.0
241,231.0,5311301.0,1880937.0,6286799.0,9203237.0,10563520.0,10005388.0
242,90.0,78725.0,471675.0,228557.0,368661.0,376933.0,423768.0
243,19.0,6888.0,28740.0,0.0,315536.0,22048.0,37531.0
245,37.0,70852.0,732310.0,462046.0,2690723.0,203505.0,210767.0
246,96.0,1273907.0,1613115.0,2790729.0,4682901.0,2817123.0,6068600.0
247,26.0,154497.0,0.0,419046.0,694525.0,306138.0,355802.0
248,90.0,1708262.0,2485648.0,1305517.0,289490.0,3618321.0,1866431.0
249,94.0,10821528.0,6747181.0,6865258.0,2749174.0,6754701.0,8068268.0
250,178.0,4100546.0,6597742.0,8641248.0,5762260.0,6782455.0,11070068.0
251,130.0,1166559.0,3666747.0,2330974.0,3471156.0,5839810.0,3371151.0
252,27.0,216542.0,182428.0,345553.0,78928.0,42072.0,1001190.0
253,118.0,4509571.0,6577616.0,1950173.0,3707320.0,3071592.0,2066711.0
254,103.0,2086255.0,4125083.0,4243233.0,2982388.0,3574337.0,1974854.0
255,114.0,5906104.0,3751545.0,874097.0,3467059.0,2663106.0,4402721.0
256,154.0,9149087.0,10506270.0,13737747.0,6727398.0,4840617.0,7412157.0
257,64.0,457192.0,252785.0,11298.0,938803.0,509219.0,254895.0
258,137.0,2347985.0,16794383.0,7755300.0,6883267.0,25889047.0,14419810.0
259,64.0,1584221.0,6701350.0,98689.0,3760930.0,88797.0,3106295.0
260,10.0,37394.0,67574.0,106258.0,9756.0,6068.0,0.0
261,105.0,3292698.0,4163587.0,353743.0,2478033.0,1758699.0,2987004.0
262,80.0,1792359.0,2453304.0,455166.0,461758.0,1832852.0,2725169.0
263,13.0,29423.0,51504.0,124166.0,0.0,30342.0,106698.0
264,17.0,0.0,0.0,506154.0,1163786.0,657786.0,0.0
265,372.0,27958934.0,25745660.0,10036901.0,18813630.0,8660200.0,27247439.0
266,90.0,2074978.0,3205721.0,8788690.0,2046950.0,1067973.0,3933420.0
267,151.0,2104108.0,4904162.0,3265078.0,9825923.0,3776195.0,3132983.0
268,121.0,5412973.0,1243121.0,2014595.0,3626313.0,4254072.0,389056.0
269,85.0,4795085.0,4241936.0,4208593.0,2464677.0,5910480.0,241009.0
270,43.0,150854.0,135353.0,114902.0,43188.0,194282.0,58658.0
271,64.0,1706991.0,4686119.0,407861.0,4014819.0,383405.0,797811.0
272,62.0,1895193.0,1784397.0,1026771.0,414596.0,1205537.0,648873.0
273,243.0,1193779.0,3271936.0,2276689.0,3700154.0,6792587.0,4166890.0
274,16.0,6692.0,0.0,0.0,82512.0,29329.0,103481.0
275,92.0,1970965.0,1427328.0,607610.0,3345605.0,257745.0,2398419.0
276,7.0,0.0,20396.0,0.0,0.0,524894.0,139404.0
277,81.0,575211.0,1323870.0,314539.0,1523559.0,721380.0,1221963.0
278,1.0,0.0,4635.0,0.0,0.0,0.0,0.0
279,56.0,208315.0,1761962.0,3070682.0,595778.0,316453.0,732258.0
280,98.0,4562255.0,2927667.0,5365685.0,7530550.0,2240538.0,5345811.0
281,69.0,2370041.0,1399527.0,1772772.0,1379208.0,917047.0,2291946.0
282,148.0,2094158.0,1856246.0,1795177.0,3570934.0,3624321.0,3682812.0
283,125.0,23573577.0,19755065.0,7898887.0,11372005.0,18336232.0,9006492.0
284,10.0,47234.0,10198.0,41577.0,47890.0,23059.0,0.0
285,48.0,109427.0,77257.0,224153.0,157768.0,400700.0,158599.0
286,32.0,224267.0,220644.0,357415.0,1000352.0,1364268.0,1057220.0
287,29.0,189825.0,689025.0,270137.0,15964.0,110643.0,47933.0
288,16.0,438888.0,98322.0,272736.0,379078.0,0.0,146911.0
289,46.0,337335.0,1370325.0,279222.0,132982.0,1043285.0,99298.0
290,43.0,79020.0,238466.0,174102.0,394820.0,40050.0,93079.0
291,16.0,72033.0,42182.0,129363.0,63320.0,0.0,23270.0
292,191.0,2991963.0,2989876.0,7579680.0,4987777.0,7180501.0,7787939.0
293,29.0,0.0,300682.0,1322724.0,579546.0,1904487.0,756215.0
294,152.0,2828351.0,614498.0,4868773.0,6458047.0,4713327.0,4248132.0
295,73.0,48219.0,1780814.0,875941.0,704148.0,4350047.0,1937934.0
296,192.0,9529818.0,6125921.0,462002.0,1850347.0,2272012.0,8602499.0
297,97.0,957289.0,5077462.0,3265169.0,5833324.0,1380250.0,3462180.0
298,102.0,889134.0,4769390.0,1684489.0,8396892.0,7812326.0,11308569.0
299,73.0,2944479.0,894218.0,629926.0,0.0,618546.0,87288.0
300,136.0,1180441.0,738664.0,276408.0,598658.0,962111.0,547353.0
301,50.0,5028574.0,983477.0,343914.0,2284224.0,5981215.0,825788.0
302,132.0,2626533.0,2725147.0,3104884.0,5156106.0,495412.0,2866110.0
303,19.0,554505.0,295882.0,10620.0,377419.0,438929.0,32277.0
304,12.0,48219.0,516279.0,603317.0,1099632.0,15170.0,303472.0
305,367.0,3280467.0,7178753.0,10547785.0,3647870.0,4912473.0,9819509.0
306,208.0,2990938.0,2989445.0,5630394.0,3453660.0,2447605.0,4159996.0
307,120.0,3127620.0,5378081.0,3159171.0,6649854.0,1247105.0,1141508.0
308,80.0,1432342.0,2335555.0,1018207.0,847149.0,630643.0,181386.0
309,45.0,1170877.0,2376533.0,1043683.0,1383977.0,1927030.0,1294380.0
310,67.0,3320399.0,2120105.0,390800.0,474085.0,1279772.0,584567.0
311,100.0,1158266.0,885535.0,609417.0,792123.0,849511.0,2243969.0
312,3.0,0.0,0.0,0.0,0.0,0.0,164068.0
313,98.0,3796241.0,1222208.0,1837904.0,2244129.0,535403.0,1295441.0
314,162.0,5576198.0,3478747.0,2268961.0,9264679.0,1885282.0,5208100.0
315,180.0,2694459.0,8412241.0,2121588.0,8778302.0,1900744.0,4865106.0
316,79.0,864344.0,1076461.0,645233.0,1130289.0,695612.0,1244163.0
317,58.0,1381713.0,813850.0,3740006.0,1687914.0,180527.0,570807.0
318,55.0,444104.0,871433.0,1404804.0,937120.0,258443.0,1100875.0
319,141.0,6377248.0,6100782.0,5055257.0,2718490.0,6928492.0,3459480.0
320,158.0,1893925.0,849358.0,1040530.0,763210.0,1247913.0,1977811.0
321,175.0,12002621.0,7617108.0,3911024.0,5800865.0,5694495.0,2800963.0
322,35.0,162171.0,692683.0,162862.0,397036.0,239186.0,196990.0
323,149.0,2456251.0,6190584.0,2784885.0,1603272.0,2032000.0,2519097.0
324,181.0,5130047.0,4419687.0,2897395.0,3249039.0,6577522.0,2286231.0
325,52.0,1784044.0,2573680.0,1406216.0,2251898.0,506993.0,2543248.0
326,122.0,2083107.0,2629369.0,926272.0,1016792.0,2292747.0,1863248.0
327,156.0,6732234.0,2134637.0,2845084.0,5067531.0,4124242.0,4007349.0
328,283.0,3116219.0,3390324.0,7598566.0,7808148.0,6418585.0,4064298.0
329,51.0,911531.0,2214984.0,5612458.0,279034.0,1569019.0,1192121.0
330,9.0,0.0,0.0,10168.0,0.0,77268.0,9543.0
331,38.0,91025.0,482596.0,200541.0,33700.0,480700.0,53724.0
332,156.0,2995711.0,1903260.0,2097184.0,1886697.0,3477764.0,1913868.0
333,48.0,275043.0,591733.0,1290921.0,123270.0,600848.0,2459339.0
334,145.0,685641.0,3187854.0,2455967.0,1947433.0,1593656.0,4710031.0
335,333.0,5164502.0,11203095.0,13321361.0,8514134.0,11751054.0,12313596.0
336,73.0,1623396.0,722597.0,392721.0,416112.0,484235.0,1170279.0
337,166.0,3691744.0,1747717.0,10512675.0,4155288.0,3990857.0,5346968.0
338,56.0,443317.0,694998.0,595974.0,156172.0,514477.0,954169.0
339,37.0,609818.0,483625.0,349901.0,24744.0,224219.0,545500.0
340,82.0,1028141.0,2581458.0,458589.0,2025516.0,3226591.0,1117164.0
341,59.0,852930.0,955199.0,3470795.0,4067820.0,1689594.0,2643534.0
342,8.0,23027.0,15348.0,27002.0,6917.0,0.0,23377.0
343,58.0,2514488.0,2047514.0,1677053.0,2597366.0,2144966.0,4951746.0
344,83.0,4701985.0,2188346.0,1398951.0,4013208.0,1159793.0,1321037.0
345,117.0,5367432.0,10130320.0,3922910.0,12764820.0,4228082.0,3297693.0
346,21.0,97421.0,20499.0,253076.0,411403.0,50568.0,202672.0
347,195.0,783703.0,1356108.0,1386611.0,265964.0,514884.0,408260.0
348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,146.0,2259489.0,3230055.0,486664.0,1818759.0,1451244.0,1630494.0
350,17.0,556975.0,247736.0,101570.0,432280.0,5158.0,94666.0
351,111.0,1481720.0,4577384.0,1374774.0,2013677.0,4622418.0,1379018.0
352,194.0,7645707.0,20585675.0,11625241.0,11262262.0,7612533.0,26705466.0
353,15.0,16630.0,27812.0,199185.0,34587.0,66345.0,10723.0
354,7.0,0.0,5150.0,129476.0,0.0,165357.0,41821.0
355,126.0,618872.0,3827592.0,1526596.0,14917294.0,5953957.0,200851.0
356,227.0,2505700.0,1737126.0,2987450.0,10588980.0,5145076.0,4317941.0
357,39.0,62783.0,484759.0,246976.0,334692.0,765293.0,566624.0
358,100.0,192649.0,2668398.0,1447395.0,2599403.0,678227.0,4230492.0
359,79.0,2355385.0,1078788.0,1208951.0,3351345.0,3763117.0,1653529.0
360,90.0,1112259.0,518863.0,399388.0,857127.0,91225.0,1678021.0
361,141.0,8977367.0,3875959.0,3004671.0,5960203.0,2135945.0,4319236.0
362,67.0,446859.0,141277.0,510900.0,91255.0,975047.0,1466225.0
363,230.0,38325820.0,21847533.0,41239306.0,1810278.0,19432343.0,6386765.0
