고객번호,식료품구매횟수,식료품1,식료품2,식료품3,식료품4,식료품5,식료품6
212,8,0,48929,15026,4878,36915,0
213,2078,1789225,1842381,2011259,1753041,2183133,2385887
214,284,386960,523589,661106,679046,571326,745675
215,1027,668212,900373,1235632,662407,1087521,895867
216,953,1018300,979476,868702,1030673,861568,1052264
217,269,386782,520935,559007,287876,156893,1823739
218,236,199183,2174763,2564188,718756,1613538,929275
219,659,570684,378256,1176044,1104235,1435777,1253711
220,1394,1546411,1382298,1351003,1667555,1363522,2094214
221,699,531155,658967,930404,615636,625698,667022
222,354,572723,547471,1937362,352759,935481,833289
223,266,866589,504042,1110094,500933,623219,1011098
224,98,255656,209138,144469,135489,386052,6970
225,108,152589,324290,75641,73348,456636,101305
226,593,876678,977155,880338,867969,590500,858406
227,7,54911,0,0,0,14665,0
228,702,776441,728909,633251,606387,1211724,991503
229,578,759556,1667832,1744961,1308801,1855298,1574920
230,421,506159,410737,604478,454618,747258,1041260
231,1179,1039962,896856,892428,800809,965927,1043831
232,2,0,0,21466,0,0,0
233,8,35919,0,28244,0,27306,0
234,474,736371,837454,672089,956177,1212719,1292765
235,385,2868368,1566256,3320797,665925,3630650,1651490
236,0,0,0,0,0,0,0
237,206,2031852,492643,4587269,357625,5708007,367706
238,516,531487,1118896,1115693,1070498,830162,1292854
239,295,845071,1321416,1004717,830478,1247177,1487281
240,290,322612,266347,507430,201391,122810,297154
241,349,768099,633752,722367,486162,629276,754131
242,620,258396,338787,391067,658699,683653,671751
243,646,632817,567795,463076,526387,770843,778229
245,654,1570506,1186965,1654917,1432775,1251700,1320063
246,294,1521735,278557,1713964,701679,2251843,1079719
247,1247,1615914,1516398,2082788,1495564,1385583,1478675
248,846,626805,833286,783839,1096432,1262021,991696
249,252,148732,396014,736547,427987,843332,594631
250,238,1484168,384168,2480042,378663,1272265,587998
251,199,1198246,391478,1061976,254105,2510510,444386
252,348,246633,359751,401832,318580,277410,373047
253,130,142493,488342,1047738,364108,337431,262506
254,369,381595,368059,520720,350830,306898,287176
255,218,251543,722598,583073,575215,355937,640849
256,148,485762,985558,951257,355240,584767,1437139
257,1778,1443056,1218146,1419142,1113341,1050592,1195486
258,153,173283,272313,428887,156925,129354,303730
259,2237,1903689,1719821,2579692,1869437,2636758,1768787
260,987,1585062,1321695,1651467,1596679,856661,767003
261,295,1436681,781691,763324,1011356,636846,671284
262,1129,2606500,1727045,3016036,1911649,3177522,2154373
263,722,805794,475259,887548,447604,516757,532070
264,527,341557,490913,482992,382311,357431,358372
265,25,36173,142596,76353,28378,11024,43816
266,198,214131,560025,250585,309691,729451,1213305
267,96,193278,355216,383660,194695,258301,155703
268,456,1153384,650633,932122,974234,1171583,1562534
269,30,101358,78904,277369,109514,165134,31741
270,913,668074,804233,831154,667304,825688,865827
271,333,1022317,2234684,501451,355000,619195,799866
272,1003,1750882,1206653,1355416,1747863,1491643,1299473
273,374,147050,1264018,841124,897634,743859,1093085
274,796,331246,498304,377636,472073,603791,952964
275,647,2596774,1347158,4133473,1550797,1854143,1942049
276,3,0,0,6632,0,0,0
277,798,519422,602365,886764,424739,540430,743286
278,14,0,8530,81561,2661,0,0
279,352,1546140,1589838,1780544,1220295,694051,317724
280,251,891092,2159841,1135809,232423,236485,904877
281,282,1825936,380485,3710016,750288,5371767,1001559
282,280,227583,777645,526692,262921,471994,621181
283,360,655432,808073,895462,651807,1408551,1276645
284,100,94201,47938,101427,59730,135037,62635
285,522,286462,335744,524161,443372,478886,441979
286,507,2222788,829263,1356814,1321585,1808331,1264135
287,453,301085,531632,355045,232605,365091,498605
288,1322,1211570,1170428,2222248,2007650,2191169,1661618
289,416,253702,751210,1476209,980609,1024826,597843
290,1132,380102,463269,1709411,1241386,1344840,1117831
291,1008,608781,1263830,962154,1018338,690081,1221896
292,746,1464812,2404750,2696605,1657691,2107065,2170347
293,665,527768,946391,1337897,642491,1070358,664535
294,74,115960,28637,305002,259346,48241,827095
295,113,33062,111034,200259,388999,235065,1036146
296,943,1264367,2331562,2920940,1103335,2468853,1025621
297,198,362479,852509,855866,560115,856772,861443
298,280,128025,1227634,1274053,593122,694925,576674
299,475,972658,686804,574789,1026721,1363677,1246495
300,1085,1264416,1752291,1349964,1360660,1276366,1341821
301,358,708481,554771,740138,354087,207306,624621
302,386,409111,679529,843488,812293,319358,570821
303,1380,1033639,1143865,1393506,1466799,1359635,1304139
304,109,86301,82892,409759,457011,549157,193772
305,73,228325,173621,149090,111546,6412,15216
306,312,613150,818551,3044825,618592,8013129,788532
307,339,719344,1167163,1330186,1082951,1045842,1093425
308,380,584817,1227845,856605,798432,735470,529476
309,376,2133153,2291508,2494407,2148362,2262699,2154060
310,931,871146,829197,1133315,630515,1028200,1260033
311,457,576468,1084462,677040,705503,1064177,532890
312,15,0,31705,34957,16415,0,0
313,809,1203396,840668,1269811,1655457,1364397,1386638
314,446,2180936,1104589,1962737,828795,715283,1239375
315,416,850358,2129530,1800540,970482,844882,632747
316,301,4364710,528755,2141190,1160901,1432617,1015652
317,690,708559,924963,1125181,843666,1194649,773880
318,338,711965,757916,943302,516015,492887,842416
319,197,532719,505900,255789,438620,264094,306752
320,409,773009,460623,796033,532795,1217379,539242
321,300,247374,520187,1176528,912381,599794,776953
322,1082,2571574,1520819,3249595,1016500,2691602,1552068
323,410,607552,694258,934038,551596,597843,865648
324,518,564532,820709,270635,317488,685723,443198
325,295,690693,572546,747487,374041,273977,364457
326,501,620685,533664,631333,387413,1093589,675492
327,150,306280,370831,448769,583641,410044,605901
328,32,109328,62114,129341,22880,110845,28953
329,558,1617141,595237,1715871,906930,2047382,1278967
330,608,63324,78905,125193,66688,1532575,1851676
331,836,1167426,661708,885577,857713,757678,1041973
332,442,711207,582460,1087687,676402,759242,898237
333,1248,1292655,2062832,1976213,1505558,1515723,1941055
334,157,237603,350503,274521,356134,59922,541524
335,198,322783,506494,318615,83592,519922,537116
336,642,773812,543420,666807,402735,632519,502834
337,222,285248,699006,587738,708477,1187727,1786630
338,613,835779,541684,866428,446296,1024750,623976
339,1378,1873755,1618606,2410879,1302994,1779480,2089738
340,116,111830,362284,300596,116140,305907,360405
341,151,1310043,2273772,1905105,2066743,1756696,3549446
342,1019,1257227,909612,1243906,1092124,1388681,958064
343,263,729628,730384,405510,306631,281512,1926654
344,649,2521635,1574201,1335274,1141105,368641,804073
345,153,245769,197508,116516,423275,232495,776352
346,372,475789,633272,666912,745415,533448,595213
347,528,294144,411714,372439,348726,337547,374935
348,172,459431,323155,755362,234884,229902,341410
349,686,8018886,1527897,16116909,1032523,8171202,1352070
350,725,391618,683471,1025759,693902,598677,1318254
351,557,2983438,1738715,1921721,1237790,1326306,857252
352,155,495184,222768,211602,284691,241898,159350
353,826,527067,1275494,816890,697399,1610787,1631135
354,763,836728,1396303,1038595,774117,724690,759735
355,456,275961,405679,281061,439563,481457,387743
356,128,61996,144645,141734,296563,332963,147971
357,4,0,14668,0,0,0,11367
358,129,217368,429063,105998,159346,299088,516065
359,1019,1287093,1357938,1502477,866835,1560165,1413568
360,1376,1793544,1418875,1796480,1486224,1030510,1557914
361,382,419616,145377,726998,474937,295207,549323
362,1009,1352821,931915,741229,885348,1446580,1390710
363,358,1267984,925265,754621,440969,999152,634117
364,708,86276,851651,918950,766171,993293,1083550
365,806,993516,1435268,3491700,1190818,1399304,771089
366,408,383328,432520,528948,370952,583737,701981
367,549,2329541,1409442,1036280,808580,1211923,1212547
368,470,289131,335591,630116,528197,760643,791815
369,73,161030,369327,333237,166709,98162,239549
370,872,555441,776528,801315,692538,799243,1145416
371,717,880458,425967,1109143,730976,883491,1206080
372,1088,824538,1024778,1033417,954900,1019119,1058286
373,428,365859,357834,101547,306107,4953202,913410
374,232,298407,492575,299976,473540,988488,568289
375,175,81397,372634,405598,240149,404500,517368
376,277,177813,184210,276115,104150,254378,189973
377,362,701310,532917,754902,807775,536657,1851419
378,254,185003,154257,412302,472013,589055,258583
379,159,202812,197314,171481,171184,180620,244033
380,4,0,18542,0,7050,0,0
381,265,387058,470788,337056,184524,267103,426420
382,331,241710,377489,657108,399556,973974,782150
383,155,164091,553469,232242,385734,299280,992310
384,865,421674,556041,410857,481058,729563,1422439
385,916,589555,658995,856783,553587,532250,685849
386,230,515519,561121,793216,268321,307213,587206
387,512,667777,702943,1350274,973971,965215,1245688
388,303,665184,243906,819264,781622,541209,401750
389,1971,1292659,953715,1245072,595653,1400118,1499966
390,877,882058,792258,1028375,1140105,1337038,1180949
391,314,992818,669998,1844089,31643,266700,121281
392,239,500465,203215,265223,289002,177866,317207
393,190,453218,563479,280678,617894,706932,687701
394,759,1028186,983775,666819,858744,1153944,1168329
395,1175,1182459,865825,1073566,844760,1192795,1189676
396,892,742371,1149659,961832,1192016,649287,845719
397,670,1186627,861338,584355,427947,624766,977134
398,312,950520,1186184,746284,399015,794023,371929
399,50,501868,276836,1232317,124555,474559,106859
400,602,1028135,965734,1378635,806066,1467687,1273157
401,11,93486,0,33894,0,31352,25200
402,283,547416,512159,424651,602532,527360,749177
403,825,662198,658214,652429,616840,788061,859209
404,395,493165,416618,871327,586269,668680,783980
405,422,1671221,1203646,1580307,517132,756098,374386
406,894,755753,741640,679124,669317,819226,838646
407,193,904522,3548054,1220543,464082,539589,1270133
408,140,1503381,386800,903698,580301,1066576,906157
409,249,418368,664746,914286,570445,823054,552103
410,420,407652,361173,371790,360091,531252,643913
411,487,1089730,583497,724402,667921,656725,827429
412,345,370602,588702,714682,529003,630067,701858
413,553,761586,697123,1323399,770155,683661,467981
414,318,443035,887492,362522,400004,316890,761866
415,1411,567819,708967,1137160,554325,795951,1100156
416,107,191418,197726,348514,181144,407028,604788
417,154,356975,502972,346389,316469,230923,166320
418,571,616979,785900,1081776,1136269,758448,470280
419,275,1068310,1445120,933649,534354,927296,542484
420,429,613152,781709,1207100,995925,428441,2388917
421,1082,1311370,1175619,1212076,1190640,1709669,1316383
422,216,406020,586739,694595,369746,285355,314456
423,356,765673,566828,678563,202579,399520,472634
424,17,0,107692,0,0,0,0
425,535,545321,685875,752798,805060,599141,1014074
426,386,370912,451344,1190871,1124355,1363913,1038745
427,294,592416,430720,818669,452651,564816,505470
428,648,1580856,1330912,2021171,984654,1474890,1894558
429,437,577219,806076,720016,483873,978596,1377448
430,298,489986,1132462,546929,594909,621273,546022
431,133,327111,107324,210187,372461,82214,523663
432,491,540804,11288098,1032768,1198509,841793,1803980
433,236,222817,119740,660770,276190,215033,904893
434,789,3280402,1656973,6008614,1821781,2628792,2211542
435,280,469613,716372,558218,248756,373911,426350
436,154,157418,161718,917313,155410,246734,392754
437,0,0,0,0,0,0,0
438,323,374443,618447,477126,544432,628188,725900
439,25,0,0,0,0,91184,0
440,318,434757,443767,810598,250090,510110,546263
441,272,274999,194653,240649,271371,138587,343007
442,2583,2728623,2826977,3040376,2859521,3594145,4057584
443,131,354329,274178,217149,277141,513265,165569
444,468,809239,1082449,2025044,690382,939389,1866803
445,359,299718,385839,209583,277577,157987,210683
446,1265,990231,771531,1164588,1071181,1199008,1397237
447,449,1172177,808710,1553647,433589,603661,562310
448,149,213099,321672,274136,395953,2755294,211478
449,970,1103707,1628076,1492221,1279124,1477944,1644301
450,482,482768,849147,596293,351465,694466,491803
451,869,1089728,893379,1244719,1113473,1016477,770212
452,0,0,0,0,0,0,0
453,436,292846,1086594,803077,1506753,418985,473610
454,777,1128955,584701,1298324,928496,1251246,862985
455,235,456246,701815,694818,642381,232637,1118750
456,61,32696,26813,36719,187653,44671,89816
457,632,2105229,1490924,1714505,582905,735319,2239400
458,1083,1134683,959685,1128303,1171166,1146659,1214795
459,966,1502447,1632715,2168790,1620034,1827063,2116398
461,439,415895,791257,765440,681549,569005,1065540
462,264,1057841,213189,247089,352116,1368254,964721
463,340,1049633,1043938,2530630,533723,863285,744052
464,749,437291,959152,594533,544074,662911,552576
465,976,1351396,1084711,836582,1291934,1472494,1283078
466,370,771665,436624,1064598,506061,369831,328256
467,818,384641,574363,525448,574570,859957,650775
468,810,1927868,1722818,2245967,1883900,2593278,2732317
469,434,1078376,565647,880178,1159891,512919,1365926
470,619,445278,837536,566411,494970,303761,557775
471,212,175989,699624,2095915,1212795,714877,364883
472,819,432277,505750,499078,632721,636470,899875
473,845,891957,820227,799871,851041,860837,1014880
474,1347,1037438,1396697,1989131,1620625,1368933,2265773
475,577,626557,586889,1090628,507311,588055,511477
476,0,0,0,0,0,0,0
477,196,1152339,227858,958405,277728,3050687,654846
478,288,709612,910026,541342,1046377,880402,262540
479,717,408692,568778,503429,493843,664121,738670
480,353,601716,663800,433884,499611,534760,548994
481,363,593683,713677,791525,581955,405357,494140
482,700,376293,504422,557639,553713,567821,902811
483,328,256531,417332,334953,365776,400821,574237
484,253,786262,989232,1015848,488890,456548,720614
485,188,634180,169973,346592,197667,510069,395093
486,447,643388,1750631,1768680,1469013,1777633,1468215
487,1176,720800,1023004,1505351,920649,1080294,1438208
488,0,0,0,0,0,0,0
489,348,506283,467467,443631,687598,1406005,2921167
490,602,922526,1403475,1143884,901659,1722265,1537423
491,114,362516,394894,774359,194954,298927,92211
492,309,685996,867634,2370863,764362,461038,624059
493,1295,1060250,1172158,1243172,1317727,1403374,1239514
494,476,573403,677055,864484,1151294,583472,1319380
495,9,0,0,11298,8868,0,89412
496,981,1276533,1077175,1147811,1001941,957759,1144370
497,1176,812903,930795,1263372,766807,1014061,871759
498,635,589875,173340,560502,345415,505468,763801
499,353,121909,165286,201675,470112,707654,570248
500,394,1022845,394062,919559,373078,626504,283142
501,22,0,248508,137497,72170,102217,38819
502,327,555945,671326,1055600,879149,942922,991244
503,286,488445,355107,1178313,571218,514376,665700
504,191,202131,404510,296958,119776,316345,702700
505,870,1037891,1237751,744160,1080796,1063069,1193713
506,496,301179,251571,247993,482707,553533,721611
507,666,1714153,2144148,2584311,1386108,1382214,1790007
508,410,1161582,714806,931923,273066,1292467,893533
509,488,1689177,1216194,1903095,1269830,1861836,1500886
510,468,764727,2363103,1333444,968140,2248073,918535
511,908,432783,814107,921259,847883,695282,925917
512,688,349376,388990,661577,398094,948205,862605
513,180,383614,478128,499535,534306,629753,770046
514,933,911357,1053214,1464018,909107,1046107,902000
515,377,1414110,1768362,2674912,1544553,1759416,1147196
516,1422,969599,1071534,1097653,801250,1132863,986839
517,432,552043,641478,598102,668386,848622,914401
518,547,326437,599842,1010688,588208,899720,857970
519,236,113050,20602,6779,355354,702434,954248
520,212,386517,638757,910167,688394,1013279,673354
521,995,6826432,1034815,9837001,1700302,8027753,1638194
522,651,464066,801925,1326360,1093746,760962,728691
523,4,0,0,42368,0,0,0
524,1375,1054797,1062611,1329132,890050,1224696,1085159
525,599,2027470,1104140,2292017,501816,2605149,1776074
526,240,330485,540459,1466322,344536,610766,654405
527,2,0,0,0,0,11823,0
528,351,324684,434887,488900,225690,320198,498621
529,662,797489,618438,685294,737279,1035164,1281427
530,235,169485,240000,488958,329062,315954,815887
531,203,134020,369965,1004541,69590,291554,495977
532,138,291206,158560,607115,205774,294842,259747
533,859,909792,711488,1142220,911058,955399,1047733
534,280,314180,222394,851952,737115,442777,703462
535,90,124424,121705,63540,108065,365848,97441
536,432,518670,460645,510438,332086,707094,392218
537,776,491655,585215,521539,474446,617731,664140
538,367,429156,978344,1123822,722944,1635314,697521
539,436,416677,788817,713013,556697,865865,746208
540,634,523717,901245,621569,549693,900672,749468
541,1303,1179504,1339267,1594177,1417335,1411843,1654818
542,373,302599,461617,661282,538645,550329,592264
543,669,1092783,1226618,871276,1243824,1206874,1716508
544,285,955971,806957,1275676,312985,844242,642955
545,213,691258,563354,412482,277402,432142,452129
546,295,2041399,398821,1101827,736853,1924913,774631
547,759,13724231,37368447,8163617,8162127,3438504,8071505
548,510,384247,364167,581283,466229,790972,603022
549,309,1752801,1629948,1378353,1101407,784187,623889
550,303,161711,131728,459230,538815,663178,826480
551,1229,798572,1099781,1155723,871097,1139572,1281944
552,355,496697,662758,704671,317213,378155,326651
553,486,722321,816545,1104064,672621,1137069,1248815
554,49,30014,31418,132379,78671,243677,279217
555,485,544602,499400,692653,602484,591061,492753
556,1210,1426995,1149866,1105170,1458502,1223994,1100620
557,1304,1033722,1504451,1022142,1015169,1339091,1418171
558,372,519227,527747,256368,440367,316385,1300940
559,722,2660043,2938894,3880172,3474854,3786079,2843113
560,56,2582653,78287,5966479,238895,5358168,472698
561,185,197374,354330,360262,230534,415039,828648
562,234,423873,750519,278475,356656,579003,331737
563,1480,1140896,1217861,1303910,882518,1171282,1255921
564,356,480092,883856,642522,997885,1317425,365172
565,102,1455466,235240,358160,125328,330979,338496
566,281,798462,660170,583072,540806,298844,744501
567,591,729665,641591,1675789,1110436,1781197,1461307
568,31,0,0,98881,18890,0,69163
569,617,499022,728382,1245376,1628575,1377699,587542
570,0,0,0,0,0,0,0
571,331,5438021,1201494,7059521,423868,5689473,550858
572,237,205077,500363,702601,441922,227584,605806
573,1021,12497,20705,1761664,1826862,2335848,2260234
574,951,1793513,1225530,1254894,929472,1042583,626977
575,562,771887,1057162,892067,456636,893957,700511
576,277,602267,865817,855366,215563,391210,1419840
577,519,1883048,1743195,1677940,1041886,999350,1486824
578,1101,1672540,2120455,1491672,2317739,1897607,1828752
579,233,377757,153668,113141,65369,234876,216678
580,478,762639,564170,1002196,441094,724691,1150856
581,543,889565,721771,761795,658380,781434,1239878
582,306,395012,493935,566894,296569,444059,333991
583,821,837778,743064,688189,869480,559006,262827
584,366,372919,372730,483032,630146,446437,799931
585,181,274649,411053,540847,570210,520619,155843
586,246,171226,521780,585397,312733,361655,497192
587,333,1295661,1263992,1201640,857538,427937,1312666
588,363,874074,859701,1010075,867102,561588,883337
589,200,489945,486182,173675,75282,203770,311452
590,213,188775,111696,79497,179183,124333,106591
591,2,0,4120,12428,0,0,0
